"Laps","Time","Cumulative Time","Distance km","Avg Pace min/km","Avg GAP min/km","Avg HR bpm","Max HR bpm","Total Ascent m","Total Descent m","Avg Power W","Avg W/kg","Max Power W","Max W/kg","Avg Run Cadence spm","Avg Ground Contact Time ms","Avg GCT Balance %","Avg Stride Length m","Avg Vertical Oscillation cm","Avg Vertical Ratio %","Calories C","Avg Temperature","Best Pace min/km","Max Run Cadence spm","Moving Time","Avg Moving Pace min/km","Avg Step Speed Loss cm/s","Avg Step Speed Loss Percent %"
"1","5:16.9","5:16.9","1.00","5:17","--","113","131","3","1","366","4.58","397","4.96","167","263","49.3% L / 50.7% R","1.13","10.1","8.9","57","--","4:50","171","5:16.9","5:17","--","--"
"2","4:41.3","9:58.2","1.00","4:41","--","135","143","3","0","402","5.03","427","5.34","172","249","48.8% L / 51.2% R","1.24","9.8","7.7","69","--","4:23","175","4:41.3","4:41","--","--"
"3","5:07.1","15:05","1.00","5:07","--","142","154","10","3","377","4.71","423","5.29","168","253","48.8% L / 51.2% R","1.16","10.4","8.8","79","--","4:29","174","5:07","5:07","--","--"
"4","5:06.2","20:12","1.00","5:06","--","141","150","0","8","374","4.68","405","5.06","168","252","49.0% L / 51.0% R","1.20","10.5","8.7","75","--","4:35","172","5:06.2","5:06","--","--"
"5","4:46.0","24:58","1.00","4:46","--","147","151","0","4","391","4.89","411","5.14","171","247","49.1% L / 50.9% R","1.18","9.9","8.3","75","--","4:32","173","4:46.0","4:46","--","--"
"6","2:09.1","27:07","0.46","4:39","--","147","149","0","1","401","5.01","414","5.18","172","246","49.0% L / 51.0% R","1.18","9.8","8.2","33","--","4:30","174","2:08","4:36","--","--"
"7","4:31.1","31:38","1.00","4:31","--","148","153","2","0","410","5.13","447","5.59","173","243","48.8% L / 51.2% R","1.14","9.6","8.3","72","--","4:16","178","4:31.1","4:31","--","--"
"8","4:34.7","36:12","1.00","4:35","4:31","149","152","3","0","417","5.21","493","6.16","173","244","49.1% L / 50.9% R","1.21","9.6","7.7","74","--","4:17","175","4:34.7","4:35","--","--"
"9","4:39.8","40:52","1.00","4:40","4:34","151","155","10","1","456","5.70","521","6.51","171","250","49.0% L / 51.0% R","1.25","9.8","7.6","77","--","4:25","174","4:39","4:39","--","--"
"10","4:34.4","45:27","1.00","4:34","4:39","147","153","1","8","403","5.04","452","5.65","170","249","49.0% L / 51.0% R","1.29","10.1","7.6","72","--","4:13","174","4:34.4","4:34","--","--"
"11","4:39.5","50:06","1.00","4:39","4:42","147","153","0","3","396","4.95","431","5.39","171","245","49.5% L / 50.5% R","1.26","9.8","7.5","72","--","4:30","173","4:39","4:39","--","--"
"12","3:52.5","53:59","0.83","4:39","4:39","148","151","0","3","403","5.04","437","5.46","170","246","49.6% L / 50.4% R","1.27","10.0","7.6","61","--","4:21","174","3:52","4:39","--","--"
"13","4:37.6","58:36","1.00","4:38","4:37","148","155","1","0","413","5.16","461","5.76","169","248","49.4% L / 50.6% R","1.28","10.0","7.6","74","--","4:27","171","4:37.6","4:38","--","--"
"14","4:40.4","1:03:17","1.00","4:40","4:39","149","152","3","0","413","5.16","444","5.55","171","245","49.5% L / 50.5% R","1.25","9.8","7.6","74","--","4:27","174","4:40.4","4:40","--","--"
"15","4:42.8","1:07:59","1.00","4:43","4:37","151","157","11","2","422","5.28","501","6.26","171","249","49.1% L / 50.9% R","1.25","9.9","7.7","76","--","4:34","173","4:42","4:42","--","--"
"16","4:39.6","1:12:39","1.00","4:40","4:45","147","153","0","8","424","5.30","493","6.16","171","250","49.1% L / 50.9% R","1.25","9.9","7.6","71","--","4:21","174","4:39.6","4:40","--","--"
"17","4:41.8","1:17:21","1.00","4:42","4:41","149","153","0","2","412","5.15","432","5.40","170","245","49.3% L / 50.7% R","1.26","9.8","7.5","73","--","4:31","173","4:41.8","4:42","--","--"
"18","3:50.7","1:21:11","0.83","4:37","4:40","148","152","0","3","425","5.31","482","6.03","173","247","49.4% L / 50.6% R","1.25","9.2","7.2","59","--","4:26","175","3:49","4:35","--","--"
"19","4:36.7","1:25:48","1.00","4:37","4:33","151","155","1","0","414","5.18","490","6.13","173","246","49.1% L / 50.9% R","1.28","9.5","7.2","74","--","3:50","176","4:36.7","4:37","--","--"
"20","4:39.0","1:30:27","1.00","4:39","4:38","151","153","2","0","413","5.16","441","5.51","171","247","49.2% L / 50.8% R","1.24","9.5","7.5","74","--","4:24","174","4:39","4:39","--","--"
"21","3:32.9","1:34:00","0.75","4:44","4:44","149","152","0","0","399","4.99","420","5.25","171","248","49.1% L / 50.9% R","1.23","9.7","7.7","55","--","4:30","173","3:32.9","4:45","--","--"
"22","4:45.5","1:38:46","1.00","4:46","4:46","150","154","0","5","396","4.95","418","5.23","171","247","49.1% L / 50.9% R","1.23","9.8","7.7","73","--","4:35","174","4:45.5","4:46","--","--"
"23","3:16.4","1:42:02","0.67","4:54","4:55","148","152","0","0","391","4.89","409","5.11","169","252","49.0% L / 51.0% R","1.20","9.8","7.9","51","--","4:43","171","3:15","4:52","--","--"
"Summary","1:42:02","1:42:02","21.54","4:44","4:40","145","157","50","53","405","5.06","521","6.51","171","248","49.1% L / 50.9% R","1.23","9.9","7.8","1,569","--","3:50","178","1:41:55","4:44","--","--"
