"","Interval","Step Type","Lap","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Normalized Power® (NP®)","Avg Power","Avg W/kg","Max Power","Max W/kg","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"","","Warm Up","1 - 2","9:28.6","9:28.6","2.00","4:44","4:46","120","138","4","1","170","256","48.7% L / 51.3% R","1.23","9.9","7.9","426","426","5.33","600","7.50","131","4:06","180","9:26","4:43"
"","","Warm Up","1","4:50.4","4:50.4","1.00","4:50","4:54","113","127","2","1","168","261","48.6% L / 51.4% R","1.22","9.9","8.0","416","415","5.19","465","5.81","63","4:39","172","4:50","4:50"
"","","Warm Up","2","4:38.2","9:28.6","1.00","4:38","4:39","129","138","2","0","172","251","48.9% L / 51.1% R","1.24","9.8","7.8","436","437","5.46","600","7.50","68","4:06","180","4:38","4:38"
"","1","Run","3 - 5","11:33","21:02","3.00","3:51","3:51","158","169","3","5","174","231","48.5% L / 51.5% R","1.49","10.4","6.8","505","508","6.35","597","7.46","205","3:18","178","11:32","3:51"
"","","Run","3","3:47.6","13:16","1.00","3:48","3:48","148","159","0","2","174","230","48.8% L / 51.2% R","1.52","10.5","6.7","487","497","6.21","597","7.46","66","3:18","176","3:47","3:47"
"","","Run","4","3:52.4","17:09","1.00","3:52","3:53","160","165","0","3","174","232","48.5% L / 51.5% R","1.49","10.6","6.8","497","497","6.21","551","6.89","69","3:41","177","3:52.4","3:52"
"","","Run","5","3:53.1","21:02","1.00","3:53","3:52","165","169","3","0","175","232","48.3% L / 51.7% R","1.47","10.3","6.8","527","529","6.61","574","7.18","70","3:46","178","3:53","3:53"
"","","Recovery","6","3:00","24:02","0.52","5:45","5:34","141","168","1","0","163","273","48.9% L / 51.1% R","1.10","10.3","9.1","406","375","4.69","592","7.40","42","3:54","176","2:58","5:41"
"","2","Run","7 - 9","11:42","35:44","3.00","3:54","3:55","166","175","3","5","176","231","48.5% L / 51.5% R","1.45","10.0","6.7","496","497","6.21","569","7.11","214","3:24","182","11:42","3:54"
"","","Run","7","3:51.4","27:53","1.00","3:51","3:54","160","170","0","2","177","227","48.6% L / 51.4% R","1.46","9.9","6.6","473","478","5.98","569","7.11","69","3:24","182","3:51.4","3:51"
"","","Run","8","3:54.9","31:48","1.00","3:55","3:55","168","171","0","2","175","232","48.6% L / 51.4% R","1.46","10.2","6.7","490","492","6.15","525","6.56","72","3:48","178","3:54.9","3:55"
"","","Run","9","3:55.7","35:44","1.00","3:56","3:55","171","175","3","0","177","232","48.4% L / 51.6% R","1.44","10.1","6.7","520","522","6.53","545","6.81","74","3:52","179","3:55.7","3:56"
"","","Recovery","10","3:00","38:44","0.52","5:46","5:35","145","173","1","0","163","273","49.3% L / 50.7% R","1.09","10.3","9.3","402","371","4.64","590","7.38","42","3:53","177","2:58","5:42"
"","3","Run","11 - 13","11:51","50:35","3.00","3:57","3:58","170","176","4","5","178","231","48.9% L / 51.1% R","1.42","9.7","6.6","489","490","6.13","548","6.85","220","3:35","182","11:51","3:57"
"","","Run","11","3:54.1","42:38","1.00","3:54","3:57","166","171","0","3","178","229","48.9% L / 51.1% R","1.43","9.6","6.6","465","471","5.89","548","6.85","71","3:35","182","3:54.1","3:54"
"","","Run","12","3:57.2","46:35","1.00","3:57","3:57","171","175","1","1","178","231","48.8% L / 51.2% R","1.42","9.6","6.5","488","490","6.13","528","6.60","74","3:53","181","3:57","3:57"
"","","Run","13","3:59.9","50:35","1.00","4:00","3:59","173","176","3","0","177","232","49.0% L / 51.0% R","1.41","9.8","6.7","509","509","6.36","544","6.80","75","3:56","179","3:59.9","4:00"
"","","Cool Down","14 - 16","10:07","1:00:42","2.03","4:59","4:59","153","176","1","4","170","257","49.7% L / 50.3% R","1.19","9.7","7.9","392","384","4.80","554","6.93","153","3:56","178","10:06","4:58"
"","","Cool Down","14","4:57.9","55:33","1.00","4:58","4:56","156","176","1","1","167","261","49.8% L / 50.2% R","1.21","10.0","8.1","410","397","4.96","554","6.93","78","3:56","178","4:57.9","4:58"
"","","Cool Down","15","4:59.6","1:00:32","1.00","5:00","5:01","150","154","0","3","172","253","49.6% L / 50.4% R","1.16","9.3","7.8","371","371","4.64","414","5.18","72","4:46","177","4:59","4:59"
"","","Cool Down","16","0:09.7","1:00:42","0.03","5:03","5:00","149","150","0","0","174","259","49.1% L / 50.9% R","1.11","8.8","7.6","370","375","4.69","377","4.71","2","5:05","175","0:09","4:40"
"","Summary","--","--","1:00:42","1:00:42","14.07","4:19","4:19","154","176","18","19","173","243","48.9% L / 51.1% R","1.34","10.0","7.3","466","456","5.70","600","7.50","1,008","3:18","182","1:00:37","4:18"
