"Laps","Time","Cumulative Time","Distance km","Avg Pace min/km","Avg GAP min/km","Avg HR bpm","Max HR bpm","Total Ascent m","Total Descent m","Avg Power W","Avg W/kg","Max Power W","Max W/kg","Avg Run Cadence spm","Avg Ground Contact Time ms","Avg GCT Balance %","Avg Stride Length m","Avg Vertical Oscillation cm","Avg Vertical Ratio %","Calories C","Avg Temperature","Best Pace min/km","Max Run Cadence spm","Moving Time","Avg Moving Pace min/km","Avg Step Speed Loss cm/s","Avg Step Speed Loss Percent %"
"1","5:02.3","5:02.3","1.00","5:02","5:06","131","153","2","1","391","4.89","450","5.63","166","266","49.7% L / 50.3% R","1.18","10.1","8.3","71","--","4:41","169","5:02","5:02","--","--"
"2","4:48.0","9:50.3","1.00","4:48","4:45","149","155","2","0","417","5.21","444","5.55","169","257","49.4% L / 50.6% R","1.23","10.0","7.9","77","--","4:40","171","4:48","4:48","--","--"
"3","4:47.2","14:38","1.00","4:47","4:44","123","131","6","0","420","5.25","474","5.93","168","257","49.0% L / 51.0% R","1.23","10.1","8.0","64","--","4:31","174","4:46","4:46","--","--"
"4","4:46.2","19:24","1.00","4:46","4:50","123","135","5","11","409","5.11","486","6.08","168","258","48.9% L / 51.1% R","1.24","10.2","8.0","65","--","4:35","171","4:45","4:45","--","--"
"5","4:43.8","24:08","1.00","4:44","4:47","121","127","0","2","401","5.01","509","6.36","170","254","48.9% L / 51.1% R","1.24","9.9","7.8","60","--","4:01","174","4:43","4:43","--","--"
"6","4:39.0","28:47","1.00","4:39","4:41","125","130","0","3","408","5.10","439","5.49","171","251","49.0% L / 51.0% R","1.26","9.9","7.6","64","--","4:36","173","4:39.0","4:39","--","--"
"7","4:44.8","33:31","1.00","4:45","4:43","128","133","1","0","414","5.18","442","5.53","170","256","49.1% L / 50.9% R","1.25","9.9","7.7","66","--","4:36","172","4:44.8","4:45","--","--"
"8","4:41.4","38:13","1.00","4:41","4:41","129","133","4","0","418","5.23","434","5.43","170","253","49.2% L / 50.8% R","1.24","9.8","7.7","65","--","4:37","172","4:41.4","4:41","--","--"
"9","4:47.7","43:00","1.00","4:48","4:43","129","135","7","0","420","5.25","468","5.85","169","256","49.1% L / 50.9% R","1.23","9.9","7.8","66","--","4:38","172","4:47","4:47","--","--"
"10","4:44.4","47:45","1.00","4:44","4:48","126","141","5","11","405","5.06","500","6.25","169","255","48.7% L / 51.3% R","1.23","10.0","7.9","68","--","4:17","177","4:44.4","4:44","--","--"
"11","4:38.1","52:23","1.00","4:38","4:41","126","135","0","3","408","5.10","450","5.63","171","252","48.8% L / 51.2% R","1.26","9.9","7.6","68","--","4:22","173","4:38","4:38","--","--"
"12","4:37.8","57:01","1.00","4:38","4:39","130","135","0","2","411","5.14","427","5.34","171","251","49.0% L / 51.0% R","1.27","9.8","7.5","63","--","4:31","173","4:37","4:37","--","--"
"13","4:40.5","1:01:41","1.00","4:41","4:38","131","135","2","0","419","5.24","446","5.58","170","254","49.1% L / 50.9% R","1.26","9.9","7.6","65","--","4:29","174","4:40.5","4:41","--","--"
"14","0:04.5","1:01:46","0.02","4:38","4:45","132","135","0","0","426","5.33","431","5.39","166","268","48.9% L / 51.1% R","1.30","10.2","7.8","1","--","4:50","167","0:04","4:05","--","--"
"Summary","1:01:46","1:01:46","13.02","4:45","4:45","128","155","35","34","411","5.14","509","6.36","169","255","49.1% L / 50.9% R","1.24","10.0","7.8","862","--","4:01","177","1:01:40","4:44","--","--"
