"Laps","Time","Cumulative Time","Distance km","Avg Pace min/km","Avg GAP min/km","Avg HR bpm","Max HR bpm","Total Ascent m","Total Descent m","Avg Power W","Avg W/kg","Max Power W","Max W/kg","Avg Run Cadence spm","Avg Ground Contact Time ms","Avg GCT Balance %","Avg Stride Length m","Avg Vertical Oscillation cm","Avg Vertical Ratio %","Calories C","Avg Temperature","Best Pace min/km","Max Run Cadence spm","Moving Time","Avg Moving Pace min/km","Avg Step Speed Loss cm/s","Avg Step Speed Loss Percent %"
"1","5:27.1","5:27.1","1.00","5:27","5:30","105","116","1","0","350","4.38","436","5.45","162","277","--","1.13","9.4","8.4","65","--","5:14","165","5:25","5:25","--","--"
"2","5:13.6","10:41","1.00","5:14","5:13","115","121","3","0","369","4.61","402","5.03","164","273","--","1.16","9.5","8.2","68","--","5:04","167","5:13.6","5:14","--","--"
"3","5:18.9","16:00","1.00","5:19","5:13","120","125","7","0","368","4.60","400","5.00","164","274","--","1.15","9.5","8.2","70","--","5:06","167","5:18","5:18","--","--"
"4","5:15.6","21:15","1.00","5:16","5:18","121","131","7","12","365","4.56","414","5.18","162","276","--","1.17","9.6","8.2","69","--","5:05","165","5:15.6","5:16","--","--"
"5","5:14.9","26:30","1.00","5:15","5:16","124","129","0","2","362","4.53","383","4.79","163","275","--","1.17","9.6","8.2","70","--","5:08","167","5:14.9","5:15","--","--"
"6","5:10.9","31:41","1.00","5:11","5:13","125","131","0","3","365","4.56","377","4.71","165","271","--","1.17","9.5","8.1","69","--","5:05","167","5:10.9","5:11","--","--"
"7","5:11.6","36:52","1.00","5:12","5:11","126","128","2","1","369","4.61","387","4.84","165","271","--","1.17","9.5","8.1","68","--","5:02","167","5:11","5:11","--","--"
"8","5:12.6","42:05","1.00","5:13","5:12","125","131","0","1","369","4.61","388","4.85","164","272","--","1.18","9.6","8.1","67","--","4:59","167","5:12.6","5:13","--","--"
"9","0:12.7","42:18","0.04","4:55","5:13","125","126","0","0","358","4.48","362","4.53","164","271","--","1.19","9.6","8.1","3","--","5:08","165","0:12","4:40","--","--"
"Summary","42:18","42:18","8.04","5:16","5:16","120","131","20","20","364","4.55","436","5.45","164","274","--","1.16","9.5","8.2","547","--","4:59","167","42:14","5:15","--","--"
