"Laps","Time","Cumulative Time","Distance km","Avg Pace min/km","Avg GAP min/km","Avg HR bpm","Max HR bpm","Total Ascent m","Total Descent m","Avg Power W","Avg W/kg","Max Power W","Max W/kg","Avg Run Cadence spm","Avg Ground Contact Time ms","Avg GCT Balance %","Avg Stride Length m","Avg Vertical Oscillation cm","Avg Vertical Ratio %","Calories C","Avg Temperature","Best Pace min/km","Max Run Cadence spm","Moving Time","Avg Moving Pace min/km","Avg Step Speed Loss cm/s","Avg Step Speed Loss Percent %"
"1","4:57.5","4:57.5","1.00","4:58","4:56","113","123","2","1","421","5.26","541","6.76","169","257","48.6% L / 51.4% R","1.25","9.9","7.9","62","--","4:12","173","4:57.5","4:58","--","--"
"2","4:35.6","9:33.2","1.00","4:36","4:34","126","130","4","0","467","5.84","582","7.28","173","246","48.3% L / 51.7% R","1.27","9.8","7.5","70","--","3:58","175","4:35.6","4:36","--","--"
"3","4:43.9","14:17","1.00","4:44","4:37","129","137","6","0","461","5.76","517","6.46","171","253","48.7% L / 51.3% R","1.25","10.0","8.0","74","--","4:27","175","4:42","4:42","--","--"
"4","4:37.0","18:54","1.00","4:37","4:42","128","139","6","17","442","5.53","534","6.68","170","252","48.9% L / 51.1% R","1.27","10.2","7.8","68","--","4:20","174","4:37","4:37","--","--"
"5","4:40.8","23:35","1.00","4:41","4:38","133","139","4","3","447","5.59","534","6.68","169","253","49.2% L / 50.8% R","1.27","10.5","8.0","73","--","4:24","171","4:40.8","4:41","--","--"
"6","4:42.3","28:17","1.00","4:42","4:44","131","140","1","0","452","5.65","520","6.50","168","256","49.2% L / 50.8% R","1.26","10.4","8.1","70","--","4:27","173","4:42","4:42","--","--"
"7","4:43.9","33:01","1.00","4:44","4:45","134","141","5","2","465","5.81","537","6.71","169","252","49.7% L / 50.3% R","1.24","10.3","8.1","72","--","4:25","172","4:43.9","4:44","--","--"
"8","4:27.3","37:28","1.00","4:27","4:31","140","144","2","8","481","6.01","569","7.11","170","244","49.0% L / 51.0% R","1.31","10.6","7.8","71","--","4:19","175","4:27","4:27","--","--"
"9","4:27.0","41:55","1.00","4:27","4:26","133","148","7","2","476","5.95","587","7.34","170","248","49.5% L / 50.5% R","1.31","10.5","8.1","69","--","4:00","175","4:26","4:26","--","--"
"10","4:28.7","46:24","1.00","4:29","4:28","141","148","5","2","438","5.48","490","6.13","172","244","48.7% L / 51.3% R","1.30","10.4","7.7","72","--","4:23","174","4:28","4:28","--","--"
"11","4:30.9","50:55","1.00","4:31","4:31","141","146","1","1","421","5.26","461","5.76","173","243","48.9% L / 51.1% R","1.28","10.1","7.6","72","--","4:25","177","4:30.9","4:31","--","--"
"12","4:30.9","55:26","1.00","4:31","4:36","140","147","3","13","430","5.38","506","6.33","169","249","49.1% L / 50.9% R","1.31","10.8","8.0","69","--","4:18","172","4:30.9","4:31","--","--"
"13","4:44.3","1:00:10","1.00","4:44","4:55","134","145","3","2","423","5.29","538","6.73","166","258","49.0% L / 51.0% R","1.26","10.4","8.1","69","--","4:07","172","4:38","4:38","--","--"
"14","4:53.9","1:05:04","1.00","4:54","5:02","126","138","4","4","426","5.33","554","6.93","165","261","49.0% L / 51.0% R","1.21","10.4","8.6","67","--","4:30","171","4:50","4:50","--","--"
"15","4:36.7","1:09:41","1.00","4:37","4:38","136","140","2","3","451","5.64","534","6.68","169","253","48.2% L / 51.8% R","1.28","10.4","7.9","71","--","4:29","171","4:36.7","4:37","--","--"
"16","4:39.1","1:14:20","1.00","4:39","4:39","139","143","0","0","439","5.49","458","5.73","170","249","48.7% L / 51.3% R","1.27","10.4","7.9","71","--","4:31","172","4:39","4:39","--","--"
"17","4:40.1","1:19:00","1.00","4:40","4:43","134","142","0","0","415","5.19","524","6.55","169","250","48.6% L / 51.4% R","1.26","10.4","8.1","69","--","4:24","171","4:39","4:39","--","--"
"18","4:43.2","1:23:43","1.00","4:43","4:44","140","143","2","0","412","5.15","434","5.43","169","252","48.6% L / 51.4% R","1.25","10.4","8.0","71","--","4:34","171","4:43","4:43","--","--"
"19","4:34.0","1:28:17","1.00","4:34","4:36","139","142","0","5","414","5.18","448","5.60","170","247","48.8% L / 51.2% R","1.29","10.5","7.9","69","--","4:25","172","4:34","4:34","--","--"
"20","4:39.4","1:32:57","1.00","4:39","4:39","143","147","1","3","415","5.19","485","6.06","170","250","48.7% L / 51.3% R","1.27","10.4","7.9","72","--","4:27","172","4:39.4","4:39","--","--"
"21","4:45.9","1:37:43","1.00","4:46","4:43","146","151","7","1","421","5.26","505","6.31","167","255","48.8% L / 51.2% R","1.25","10.5","8.1","76","--","4:30","170","4:45.9","4:46","--","--"
"22","4:38.4","1:42:21","1.00","4:38","4:40","144","147","0","2","408","5.10","430","5.38","169","248","48.9% L / 51.1% R","1.28","10.4","7.9","71","--","4:30","172","4:38","4:38","--","--"
"23","3:44.7","1:46:06","0.75","4:58","4:53","145","149","0","3","393","4.91","451","5.64","169","249","48.7% L / 51.3% R","1.26","10.4","8.0","57","--","4:38","172","3:44","4:57","--","--"
"Summary","1:46:06","1:46:06","22.75","4:40","4:41","135","151","66","74","436","5.45","587","7.34","169","251","48.9% L / 51.1% R","1.27","10.3","8.0","1,606","--","3:58","177","1:45:49","4:39","--","--"
