"","Interval","Step Type","Lap","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Normalized Power® (NP®)","Avg Power","Avg W/kg","Max Power","Max W/kg","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"","","Warm Up","1 - 13","55:58","55:58","12.02","4:39","4:39","143","156","30","29","169","250","49.4% L / 50.6% R","1.27","10.4","7.9","437","435","5.44","544","6.80","863","4:23","176","55:55","4:39"
"","","Warm Up","1","4:45.8","4:45.8","1.00","4:46","4:47","127","145","3","1","167","259","49.1% L / 50.9% R","1.25","10.4","8.1","447","447","5.59","544","6.80","68","4:29","170","4:45","4:45"
"","","Warm Up","2","4:37.8","9:23.5","1.00","4:38","4:37","137","146","1","0","170","250","49.6% L / 50.4% R","1.27","10.4","8.0","465","465","5.81","486","6.08","71","4:26","173","4:37.8","4:38"
"","","Warm Up","3","4:33.4","13:57","1.00","4:33","4:35","137","142","2","8","171","247","49.4% L / 50.6% R","1.28","10.5","7.9","458","456","5.70","505","6.31","70","4:23","173","4:33.4","4:33"
"","","Warm Up","4","4:35.2","18:32","1.00","4:35","4:34","140","147","4","2","171","247","49.4% L / 50.6% R","1.27","10.2","7.7","462","462","5.78","525","6.56","71","4:25","175","4:35","4:35"
"","","Warm Up","5","4:33.4","23:06","1.00","4:33","4:35","144","149","0","2","171","244","49.3% L / 50.7% R","1.28","10.4","7.9","456","457","5.71","493","6.16","71","4:23","173","4:33","4:33"
"","","Warm Up","6","4:35.9","27:41","1.00","4:36","4:35","146","151","4","2","172","247","49.2% L / 50.8% R","1.27","10.1","7.7","461","458","5.73","498","6.23","72","4:27","174","4:35.9","4:36"
"","","Warm Up","7","4:35.5","32:17","1.00","4:36","4:35","148","153","2","2","171","245","49.1% L / 50.9% R","1.28","10.2","7.8","421","419","5.24","501","6.26","73","4:27","174","4:35.5","4:36"
"","","Warm Up","8","4:42.5","37:00","1.00","4:42","4:43","145","152","1","2","170","249","49.4% L / 50.6% R","1.25","10.1","7.9","402","402","5.03","463","5.79","71","4:28","172","4:42","4:42"
"","","Warm Up","9","4:38.6","41:38","1.00","4:39","4:38","147","151","2","4","167","253","49.2% L / 50.8% R","1.30","10.7","8.0","419","418","5.23","483","6.04","73","4:33","170","4:38.6","4:39"
"","","Warm Up","10","4:43.8","46:22","1.00","4:44","4:40","151","156","9","1","171","251","49.5% L / 50.5% R","1.24","10.1","7.9","425","423","5.29","505","6.31","76","4:23","176","4:43.8","4:44"
"","","Warm Up","11","4:42.9","51:05","1.00","4:43","4:45","149","154","0","3","168","248","49.7% L / 50.3% R","1.26","10.6","8.1","406","405","5.06","456","5.70","74","4:31","175","4:42","4:42"
"","","Warm Up","12","4:47.1","55:52","1.00","4:47","4:46","146","151","0","2","167","255","49.6% L / 50.4% R","1.26","10.6","8.2","407","407","5.09","434","5.43","73","4:39","169","4:47.1","4:47"
"","","Warm Up","13","0:06.3","55:58","0.02","4:53","4:57","150","151","0","0","165","256","49.5% L / 50.5% R","1.22","10.9","8.7","419","430","5.38","436","5.45","1","4:59","165","0:05","3:54"
"","1","Run","14","0:21.2","56:19","0.11","3:10","3:28","158","165","0","0","194","206","48.2% L / 51.8% R","1.53","8.1","5.7","460","552","6.90","696","8.70","6","2:52","201","0:20","2:59"
"","","Recovery","15","1:00.0","57:19","0.11","8:54","7:32","149","168","0","0","122","463","49.0% L / 51.0% R","1.02","8.8","8.8","415","237","2.96","684","8.55","14","3:07","194","0:59","8:45"
"","2","Run","16","0:24.6","57:44","0.14","2:58","3:28","139","160","1","0","196","198","48.2% L / 51.8% R","1.47","8.3","7.2","365","574","7.18","714","8.93","6","2:51","204","0:24","2:53"
"","","Recovery","17","1:00.3","58:44","0.11","9:11","8:30","148","162","0","0","120","462","48.3% L / 51.7% R","0.98","8.4","8.5","421","215","2.69","715","8.94","13","2:55","196","0:59","8:59"
"","3","Run","18","0:21.3","59:06","0.11","3:08","3:30","141","149","0","0","192","205","48.7% L / 51.3% R","1.45","8.6","7.9","344","593","7.41","803","10.04","5","2:43","201","0:20","2:56"
"","","Recovery","19","1:00.2","1:00:06","0.08","11:56","10:06","150","165","1","0","107","393","49.9% L / 50.1% R","0.93","6.4","7.4","391","158","1.98","710","8.88","12","3:07","196","0:59","11:42"
"","4","Run","20","0:20.4","1:00:26","0.11","2:58","3:37","135","144","0","0","184","215","47.7% L / 52.3% R","1.53","9.3","8.1","269","491","6.14","647","8.09","4","2:41","198","0:20","2:55"
"","","Recovery","21","0:58.4","1:01:25","0.10","9:27","8:58","144","159","0","2","118","435","48.3% L / 51.7% R","0.96","8.4","8.9","355","192","2.40","596","7.45","10","3:12","190","0:57","9:13"
