"","Interval","Step Type","Lap","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Normalized Power® (NP®)","Avg Power","Avg W/kg","Max Power","Max W/kg","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"","","Warm Up","1 - 10","40:08","40:08","9.02","4:27","4:27","139","153","24","20","171","248","48.4% L / 51.6% R","1.31","10.2","7.5","449","447","5.59","569","7.11","629","3:55","175","40:04","4:26"
"","","Warm Up","1","4:33.0","4:33.0","1.00","4:33","4:35","126","134","2","1","169","250","48.5% L / 51.5% R","1.31","10.6","7.8","446","446","5.58","569","7.11","66","3:55","175","4:33.0","4:33"
"","","Warm Up","2","4:28.4","9:01.4","1.00","4:28","4:27","136","141","2","0","172","250","48.3% L / 51.7% R","1.29","10.1","7.6","459","458","5.73","494","6.18","71","4:23","175","4:28.4","4:28"
"","","Warm Up","3","4:25.1","13:26","1.00","4:25","4:22","139","147","7","0","172","250","48.4% L / 51.6% R","1.31","10.2","7.6","466","470","5.88","539","6.74","71","4:16","175","4:24","4:24"
"","","Warm Up","4","4:28.7","17:55","1.00","4:29","4:28","140","152","8","9","172","250","48.6% L / 51.4% R","1.30","10.2","7.6","463","449","5.61","544","6.80","71","4:21","174","4:28.7","4:29"
"","","Warm Up","5","4:24.4","22:20","1.00","4:24","4:27","137","144","0","4","171","250","48.5% L / 51.5% R","1.34","10.4","7.5","432","434","5.43","476","5.95","68","4:10","173","4:24","4:24"
"","","Warm Up","6","4:21.6","26:41","1.00","4:22","4:24","141","145","0","2","171","246","48.7% L / 51.3% R","1.34","10.4","7.5","437","437","5.46","447","5.59","69","4:18","172","4:21.6","4:22"
"","","Warm Up","7","4:18.4","31:00","1.00","4:18","4:19","144","151","0","2","173","245","48.3% L / 51.7% R","1.35","10.1","7.3","450","451","5.64","481","6.01","69","4:13","174","4:18","4:18"
"","","Warm Up","8","4:27.9","35:27","1.00","4:28","4:26","147","153","3","0","172","247","48.3% L / 51.7% R","1.31","10.0","7.4","452","451","5.64","467","5.84","73","4:18","174","4:27.9","4:28"
"","","Warm Up","9","4:33.9","40:01","1.00","4:34","4:35","142","149","2","1","171","248","48.3% L / 51.7% R","1.27","10.0","7.6","428","426","5.33","454","5.68","70","4:28","173","4:33.9","4:34"
"","","Warm Up","10","0:06.4","40:08","0.02","5:10","4:29","144","144","0","0","172","251","47.8% L / 52.2% R","1.29","9.8","7.4","422","419","5.24","421","5.26","1","4:29","172","0:05","4:01"
"","1","Run","11","0:22.8","40:31","0.11","3:27","3:41","151","156","0","0","186","213","47.0% L / 53.0% R","1.46","9.1","6.3","445","494","6.18","574","7.18","7","3:10","190","0:22","3:20"
"","","Recovery","12","0:55.5","41:26","0.11","8:45","7:20","136","156","0","1","125","466","48.9% L / 51.1% R","1.09","9.0","8.3","391","245","3.06","606","7.58","11","3:31","186","0:55","8:40"
"","2","Run","13","0:21.9","41:48","0.11","3:21","3:44","128","138","0","0","190","194","48.9% L / 51.1% R","1.43","9.1","7.2","299","486","6.08","582","7.28","5","3:06","199","0:20","3:04"
"","","Recovery","14","0:59.5","42:47","0.11","9:04","8:04","126","144","0","1","120","452","49.8% L / 50.3% R","1.03","8.1","7.9","341","198","2.48","559","6.99","10","3:22","188","0:59","9:00"
"","3","Run","15","0:21.2","43:09","0.11","3:14","3:45","123","142","0","0","191","206","48.3% L / 51.7% R","1.39","8.6","7.4","291","488","6.10","591","7.39","5","2:59","199","0:20","3:02"
"","","Recovery","16","0:54.1","44:03","0.10","9:09","8:19","128","145","0","0","125","458","48.4% L / 51.6% R","1.14","8.7","8.3","364","215","2.69","640","8.00","9","3:01","194","0:53","8:57"
"","4","Run","17","0:23.8","44:26","0.12","3:24","3:56","126","139","0","0","182","218","48.3% L / 51.7% R","1.40","9.6","7.9","306","474","5.93","591","7.39","6","3:06","188","0:23","3:18"
"","","Recovery","18","0:52.1","45:19","0.10","9:04","7:52","129","141","0","1","123","414","47.8% L / 52.2% R","1.04","8.4","8.2","383","219","2.74","604","7.55","9","3:20","187","0:51","8:53"
"","5","Run","19","0:21.2","45:40","0.11","3:21","3:50","123","138","0","0","190","208","47.9% L / 52.1% R","1.33","8.7","7.8","288","485","6.06","610","7.63","5","3:00","196","0:20","3:10"
"","","Recovery","20","0:53.3","46:33","0.10","9:00","8:15","125","142","0","1","123","438","49.2% L / 50.8% R","1.03","8.2","8.4","375","214","2.68","639","7.99","9","3:11","194","0:53","8:57"
"","6","Run","21","0:22.2","46:55","0.11","3:19","3:37","118","139","0","0","191","202","48.7% L / 51.3% R","1.41","8.6","7.4","312","518","6.48","633","7.91","6","3:04","199","0:21","3:08"
"","","Cool Down","22","1:08.3","48:04","0.19","6:09","5:52","132","143","0","0","162","282","49.2% L / 50.8% R","1.02","9.7","9.4","415","341","4.26","612","7.65","15","3:14","189","1:08","6:07"
"","Summary","--","--","48:04","48:04","10.38","4:38","4:38","137","156","24","25","167","261","48.5% L / 51.5% R","1.29","10.0","7.6","438","424","5.30","640","8.00","727","2:59","199","47:58","4:37"
