"","Interval","Step Type","Lap","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Normalized Power® (NP®)","Avg Power","Avg W/kg","Max Power","Max W/kg","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"","","Warm Up","1 - 6","28:41","28:41","5.49","5:13","5:14","130","147","13","17","168","256","49.4% L / 50.6% R","1.16","10.5","9.0","376","375","4.69","444","5.55","377","4:40","174","28:38","5:13"
"","","Warm Up","1","5:42.8","5:42.8","1.00","5:43","5:43","114","129","0","1","164","266","49.3% L / 50.7% R","1.06","10.7","9.9","358","354","4.43","384","4.80","61","5:07","169","5:42.8","5:43"
"","","Warm Up","2","5:09.6","10:52","1.00","5:10","5:09","128","133","4","0","168","259","49.8% L / 50.2% R","1.15","10.2","8.6","378","377","4.71","401","5.01","70","4:52","171","5:09","5:09"
"","","Warm Up","3","4:12.4","15:05","0.80","5:14","5:15","133","147","9","0","168","254","49.1% L / 50.9% R","1.13","10.8","9.5","372","379","4.74","444","5.55","55","4:40","174","4:12","5:14"
"","","Warm Up","4","5:09.6","20:14","1.00","5:10","5:11","134","147","0","9","169","254","49.1% L / 50.9% R","1.14","10.7","9.1","375","375","4.69","407","5.09","73","4:54","171","5:09.6","5:10"
"","","Warm Up","5","5:03.2","25:18","1.00","5:03","5:03","134","140","0","3","169","254","49.8% L / 50.2% R","1.27","10.3","8.3","382","383","4.79","409","5.11","69","4:44","172","5:03","5:03"
"","","Warm Up","6","3:23.2","28:41","0.69","4:55","4:54","142","147","0","3","171","246","49.2% L / 50.8% R","1.24","10.6","8.3","395","394","4.93","410","5.13","50","4:44","172","3:22","4:53"
"","1","Run","7 - 11","13:21","42:02","4.13","3:14","4:06","147","154","13","0","168","252","49.2% L / 50.8% R","1.17","10.5","8.8","395","396","4.95","499","6.24","209","0:17","172","13:20","3:14"
"","","Run","7","4:12.7","32:53","1.00","4:13","5:00","146","149","2","0","169","249","49.0% L / 51.0% R","1.24","10.5","8.3","388","388","4.85","431","5.39","65","4:41","172","4:12.7","4:13"
"","","Run","8","0:18.3","33:12","1.00","0:18","0:37","147","150","0","0","169","254","49.0% L / 51.0% R","1.17","10.3","8.5","397","448","5.60","499","6.24","5","0:17","169","0:18","0:18"
"","","Run","9","2:55.9","36:08","1.00","2:56","3:35","147","150","1","0","168","253","49.1% L / 50.9% R","1.14","10.6","9.1","394","392","4.90","414","5.18","46","0:18","170","2:55.9","2:56"
"","","Run","10","5:12.1","41:20","1.00","5:12","5:13","148","151","5","0","168","252","49.3% L / 50.7% R","1.14","10.6","9.0","394","397","4.96","439","5.49","83","4:50","171","5:12","5:12"
"","","Run","11","0:42.3","42:02","0.13","5:18","5:14","150","154","5","0","167","257","49.2% L / 50.8% R","1.13","10.3","8.8","435","443","5.54","458","5.73","11","5:05","169","0:41","5:08"
"","","Recovery","12 - 13","6:49.4","48:51","1.32","5:10","5:10","144","155","0","9","168","253","49.2% L / 50.8% R","1.15","10.5","8.9","384","380","4.75","446","5.58","99","4:51","171","6:48","5:09"
"","","Recovery","12","5:08.9","47:11","1.00","5:09","5:10","144","155","0","9","168","253","49.2% L / 50.8% R","1.15","10.5","8.9","384","380","4.75","446","5.58","75","4:51","171","5:08.9","5:09"
"","","Recovery","13","1:40.4","48:51","0.32","5:13","5:10","145","148","0","0","168","253","49.4% L / 50.6% R","1.16","10.5","8.8","385","381","4.76","403","5.04","24","4:56","170","1:39","5:08"
"","2","Run","14","0:26.0","49:17","0.11","3:58","3:57","148","154","0","0","180","218","48.6% L / 51.4% R","1.38","9.7","7.2","423","484","6.05","545","6.81","6","3:36","186","0:25","3:48"
"","","Recovery","15","0:56.8","50:14","0.10","9:16","9:19","142","155","0","3","126","461","49.6% L / 50.4% R","0.87","9.2","10.6","342","206","2.58","470","5.88","13","4:04","178","0:56","9:08"
"","3","Run","16","0:25.6","50:40","0.11","3:55","3:59","124","129","0","0","180","215","48.8% L / 51.3% R","1.34","10.0","8.1","361","497","6.21","565","7.06","4","3:49","183","0:25","3:50"
"","","Recovery","17","0:55.6","51:35","0.09","9:51","9:45","131","146","0","1","122","479","49.2% L / 50.8% R","0.89","9.5","10.7","348","198","2.48","466","5.83","10","4:01","179","0:54","9:34"
"","4","Run","18","0:28.7","52:04","0.13","3:45","3:48","129","142","0","0","184","206","47.8% L / 52.2% R","1.37","9.9","8.3","374","514","6.43","571","7.14","2","3:26","189","0:28","3:40"
"","","Recovery","19","0:58.6","53:03","0.12","7:53","7:56","142","151","0","0","142","350","49.0% L / 51.0% R","0.93","10.5","11.2","395","269","3.36","512","6.40","13","3:51","181","0:58","7:48"
"","5","Run","20","0:25.6","53:28","0.10","4:27","4:20","136","144","0","0","177","217","48.5% L / 51.5% R","1.27","10.4","9.3","315","457","5.71","551","6.89","3","3:39","186","0:24","4:10"
"","","Recovery","21","0:55.3","54:24","0.10","9:37","9:45","132","149","0","2","122","469","49.5% L / 50.5% R","0.87","8.7","9.7","319","185","2.31","427","5.34","9","4:37","174","0:55","9:34"
"","6","Run","22","0:25.6","54:49","0.11","3:45","3:40","127","141","0","0","187","207","48.7% L / 51.3% R","1.41","9.6","7.8","360","528","6.60","591","7.39","1","3:18","193","0:24","3:31"
"","","Recovery","23","0:58.2","55:47","0.10","9:29","9:27","134","151","0","0","120","462","49.0% L / 51.0% R","0.91","8.5","9.2","368","192","2.40","527","6.59","9","3:36","186","0:57","9:17"
"","7","Run","24","0:25.9","56:13","0.11","3:47","3:48","126","139","0","0","184","205","48.8% L / 51.2% R","1.34","9.8","9.2","344","514","6.43","570","7.13","1","3:22","192","0:25","3:39"
"","","Cool Down","25","3:48.1","1:00:01","0.74","5:09","5:10","145","150","0","0","168","256","49.2% L / 50.8% R","1.15","10.5","9.0","410","395","4.94","576","7.20","55","3:25","190","3:48","5:09"
"","Summary","--","--","1:00:01","1:00:01","12.87","4:40","5:01","137","155","26","32","165","266","49.3% L / 50.7% R","1.15","10.4","9.0","382","374","4.68","591","7.39","811","0:17","193","59:54","4:39"
