"Laps","Time","Cumulative Time","Distance km","Avg Pace min/km","Avg GAP min/km","Avg HR bpm","Max HR bpm","Total Ascent m","Total Descent m","Avg Power W","Avg W/kg","Max Power W","Max W/kg","Avg Run Cadence spm","Avg Ground Contact Time ms","Avg GCT Balance %","Avg Stride Length m","Avg Vertical Oscillation cm","Avg Vertical Ratio %","Calories C","Avg Temperature","Best Pace min/km","Max Run Cadence spm","Moving Time","Avg Moving Pace min/km","Avg Step Speed Loss cm/s","Avg Step Speed Loss Percent %"
"1","4:46.4","4:46.4","1.00","4:46","4:48","116","129","2","4","410","5.13","468","5.85","166","261","--","1.26","9.6","7.7","66","--","4:29","174","4:46.4","4:46","--","--"
"2","4:28.4","9:14.8","1.00","4:28","4:28","133","137","0","2","467","5.84","498","6.23","172","248","--","1.30","9.6","7.3","71","--","4:23","176","4:28","4:28","--","--"
"3","4:32.2","13:47","1.00","4:32","4:31","138","141","4","1","464","5.80","490","6.13","171","250","--","1.29","9.5","7.4","75","--","4:28","176","4:32.2","4:32","--","--"
"4","4:28.5","18:16","1.00","4:29","4:31","138","143","4","6","452","5.65","510","6.38","169","252","--","1.32","9.8","7.4","73","--","4:07","175","4:27","4:27","--","--"
"5","4:28.0","22:44","1.00","4:28","4:28","140","142","1","2","457","5.71","481","6.01","169","252","--","1.32","9.8","7.4","73","--","4:25","172","4:28","4:28","--","--"
"6","4:21.7","27:05","1.00","4:22","4:22","143","146","0","1","434","5.43","474","5.93","171","247","--","1.34","9.7","7.3","73","--","4:16","176","4:21.7","4:22","--","--"
"7","4:14.3","31:20","1.00","4:14","4:14","137","146","0","0","433","5.41","547","6.84","171","243","--","1.37","9.7","7.1","69","--","3:41","177","4:14","4:14","--","--"
"8","4:16.3","35:36","1.00","4:16","4:17","146","148","2","2","435","5.44","452","5.65","172","244","--","1.36","9.7","7.1","72","--","4:14","176","4:16.3","4:16","--","--"
"9","4:18.7","39:55","1.00","4:19","4:19","145","148","1","1","429","5.36","447","5.59","172","244","--","1.35","9.7","7.2","72","--","4:15","177","4:18","4:18","--","--"
"10","4:21.9","44:17","1.00","4:22","4:22","146","149","2","1","426","5.33","442","5.53","171","246","--","1.33","9.7","7.2","73","--","4:18","174","4:21.9","4:22","--","--"
"11","0:03.0","44:19","0.01","3:53","4:15","144","145","1","0","442","5.53","445","5.56","172","247","--","1.33","9.6","7.3","1","--","4:24","172","0:02","2:38","--","--"
"Summary","44:19","44:19","10.01","4:26","4:26","138","149","18","20","441","5.51","547","6.84","170","249","--","1.32","9.7","7.3","717","--","3:41","177","44:16","4:25","--","--"
