"Laps","Time","Cumulative Time","Distance km","Avg Pace min/km","Avg GAP min/km","Avg HR bpm","Max HR bpm","Total Ascent m","Total Descent m","Avg Power W","Avg W/kg","Max Power W","Max W/kg","Avg Run Cadence spm","Avg Ground Contact Time ms","Avg GCT Balance %","Avg Stride Length m","Avg Vertical Oscillation cm","Avg Vertical Ratio %","Calories C","Avg Temperature","Best Pace min/km","Max Run Cadence spm","Moving Time","Avg Moving Pace min/km","Avg Step Speed Loss cm/s","Avg Step Speed Loss Percent %"
"1","4:49.5","4:49.5","1.00","4:49","4:53","116","131","2","1","407","5.09","451","5.64","167","263","48.7% L / 51.3% R","1.22","10.3","8.3","64","--","4:35","172","4:49","4:49","--","--"
"2","4:34.0","9:23.5","1.00","4:34","4:32","131","136","2","0","428","5.35","480","6.00","172","249","48.7% L / 51.3% R","1.27","10.0","7.6","71","--","4:25","174","4:34","4:34","--","--"
"3","4:36.7","14:00","1.00","4:37","4:33","133","140","6","0","439","5.49","577","7.21","168","254","48.8% L / 51.2% R","1.29","10.6","8.0","70","--","3:47","175","4:36.7","4:37","--","--"
"4","4:37.6","18:38","1.00","4:38","4:38","137","145","9","10","434","5.43","489","6.11","169","252","48.7% L / 51.3% R","1.27","10.5","8.0","71","--","4:27","174","4:37","4:37","--","--"
"5","4:29.3","23:07","1.00","4:29","4:32","138","144","0","3","436","5.45","479","5.99","173","244","48.5% L / 51.5% R","1.29","10.1","7.6","70","--","4:22","176","4:29.3","4:29","--","--"
"6","4:32.7","27:40","1.00","4:33","4:35","140","144","0","4","433","5.41","450","5.63","171","244","49.0% L / 51.0% R","1.29","10.3","7.8","70","--","4:27","174","4:32","4:32","--","--"
"7","4:31.9","32:12","1.00","4:32","4:34","141","145","0","1","436","5.45","474","5.93","170","245","48.8% L / 51.2% R","1.30","10.5","7.8","70","--","4:21","173","4:31.9","4:32","--","--"
"8","4:31.5","36:43","1.00","4:32","4:30","143","145","3","0","431","5.39","442","5.53","170","244","49.0% L / 51.0% R","1.30","10.4","7.8","70","--","4:27","174","4:31.5","4:32","--","--"
"9","4:31.4","41:15","1.00","4:31","4:30","142","147","3","0","432","5.40","474","5.93","170","246","49.1% L / 50.9% R","1.30","10.4","7.8","69","--","4:24","174","4:31","4:31","--","--"
"10","4:36.3","45:51","1.00","4:36","4:27","147","155","12","0","448","5.60","513","6.41","172","248","48.6% L / 51.4% R","1.27","10.0","7.6","74","--","4:09","176","4:36","4:36","--","--"
"11","4:28.4","50:19","1.00","4:28","4:35","142","150","0","12","425","5.31","494","6.18","173","241","48.6% L / 51.4% R","1.29","10.1","7.6","67","--","4:19","176","4:28.4","4:28","--","--"
"12","4:31.8","54:51","1.00","4:32","4:32","143","148","0","3","432","5.40","459","5.74","171","244","49.1% L / 50.9% R","1.29","10.2","7.6","68","--","4:24","174","4:31.8","4:32","--","--"
"13","4:31.0","59:22","1.00","4:31","4:33","143","151","0","3","431","5.39","457","5.71","174","241","48.9% L / 51.1% R","1.27","9.8","7.5","68","--","4:25","177","4:31.0","4:31","--","--"
"14","4:26.3","1:03:49","1.00","4:26","4:29","141","149","0","0","437","5.46","521","6.51","174","244","48.9% L / 51.1% R","1.29","9.8","7.4","66","--","3:58","178","4:25","4:25","--","--"
"15","0:03.6","1:03:52","0.01","4:00","4:34","143","143","0","0","429","5.36","432","5.40","172","249","49.3% L / 50.8% R","1.29","9.8","7.4","1","--","4:29","172","0:02","2:15","--","--"
"Summary","1:03:52","1:03:52","14.01","4:33","4:34","138","155","37","39","432","5.40","577","7.21","171","247","48.8% L / 51.2% R","1.28","10.2","7.8","967","--","3:47","178","1:03:47","4:33","--","--"
