"Laps","Time","Cumulative Time","Distance km","Avg Pace min/km","Avg GAP min/km","Avg HR bpm","Max HR bpm","Total Ascent m","Total Descent m","Avg Power W","Avg W/kg","Max Power W","Max W/kg","Avg Run Cadence spm","Avg Ground Contact Time ms","Avg GCT Balance %","Avg Stride Length m","Avg Vertical Oscillation cm","Avg Vertical Ratio %","Calories C","Avg Temperature","Best Pace min/km","Max Run Cadence spm","Moving Time","Avg Moving Pace min/km","Avg Step Speed Loss cm/s","Avg Step Speed Loss Percent %"
"1","5:04.0","5:04.0","1.00","5:04","--","114","128","0","1","366","4.58","437","5.46","164","264","--","1.22","9.6","7.9","57","--","4:28","172","4:59","4:59","--","--"
"2","4:52.8","9:56.8","1.00","4:53","--","129","133","0","0","379","4.74","400","5.00","168","262","--","1.23","9.6","7.8","67","--","4:43","171","4:52","4:52","--","--"
"3","4:54.4","14:51","1.00","4:54","--","132","137","0","2","375","4.69","388","4.85","168","263","--","1.22","9.6","7.8","70","--","4:49","171","4:54.4","4:54","--","--"
"4","4:53.7","19:45","1.00","4:54","--","134","137","0","0","379","4.74","465","5.81","168","262","--","1.22","9.6","7.8","69","--","4:18","173","4:53.7","4:54","--","--"
"5","4:55.9","24:41","1.00","4:56","--","133","140","3","0","376","4.70","408","5.10","167","264","--","1.22","9.6","7.9","66","--","4:45","171","4:55","4:55","--","--"
"6","5:07.0","29:48","1.00","5:07","--","131","140","7","0","363","4.54","443","5.54","162","269","--","1.22","9.7","8.0","65","--","4:27","171","5:02","5:02","--","--"
"7","0:12.2","30:00","0.04","5:05","--","132","132","0","2","352","4.40","358","4.48","166","268","--","1.19","9.6","8.0","3","--","4:55","167","0:12","5:01","--","--"
"8","3:35.1","33:35","0.72","4:57","--","132","141","1","12","356","4.45","411","5.14","164","269","--","1.24","9.8","8.0","45","--","4:18","167","3:34","4:55","--","--"
"Summary","33:35","33:35","6.76","4:58","--","129","141","11","16","371","4.64","465","5.81","166","265","--","1.22","9.6","7.9","441","--","4:18","173","33:22","4:56","--","--"
