"","Interval","Step Type","Lap","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Normalized Power® (NP®)","Avg Power","Avg W/kg","Max Power","Max W/kg","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"","","Warm Up","1 - 3","10:23","10:23","2.21","4:42","4:42","120","132","5","1","170","248","48.3% L / 51.7% R","1.24","9.9","7.8","405","406","5.08","544","6.80","149","4:12","177","10:20","4:40"
"","","Warm Up","1","4:45.5","4:45.5","1.00","4:46","4:49","115","129","2","1","169","251","48.3% L / 51.7% R","1.23","9.9","7.9","400","398","4.98","485","6.06","64","4:25","175","4:45.5","4:46"
"","","Warm Up","2","4:35.1","9:20.6","1.00","4:35","4:32","127","132","3","0","173","243","48.3% L / 51.7% R","1.26","9.8","7.5","416","416","5.20","488","6.10","70","4:27","177","4:35","4:35"
"","","Warm Up","3","1:02.3","10:23","0.21","4:53","4:57","115","128","0","0","166","251","48.6% L / 51.4% R","1.19","10.2","9.2","374","402","5.03","544","6.80","14","4:12","172","1:01","4:47"
"","1","Run","4 - 6","11:49","22:12","3.00","3:56","3:58","148","157","3","8","177","226","47.2% L / 52.8% R","1.43","9.9","6.7","510","509","6.36","595","7.44","207","3:35","182","11:48","3:56"
"","","Run","4","3:58.8","14:22","1.00","3:59","4:02","140","150","0","2","176","227","47.5% L / 52.5% R","1.42","10.0","6.8","500","505","6.31","595","7.44","68","3:35","180","3:58.8","3:59"
"","","Run","5","3:54.6","18:16","1.00","3:55","3:56","150","155","0","3","177","225","47.2% L / 52.8% R","1.44","9.9","6.7","518","518","6.48","543","6.79","69","3:50","182","3:54.6","3:55"
"","","Run","6","3:55.4","22:12","1.00","3:55","3:56","155","157","3","3","178","226","47.0% L / 53.0% R","1.43","9.9","6.7","511","505","6.31","550","6.88","70","3:49","181","3:55","3:55"
"","","Rest","7","3:00","25:12","0.60","5:00","4:50","137","156","0","1","169","248","48.2% L / 51.8% R","1.20","10.4","8.4","407","399","4.99","527","6.59","45","3:47","180","2:58","4:57"
"","2","Run","8 - 10","11:58","37:10","3.00","3:59","3:57","158","168","18","2","179","225","47.4% L / 52.6% R","1.40","9.7","6.7","481","481","6.01","590","7.38","216","3:30","186","11:58","3:59"
"","","Run","8","3:52.4","29:04","1.00","3:52","3:56","153","158","0","2","180","221","47.2% L / 52.8% R","1.42","9.6","6.5","465","469","5.86","544","6.80","69","3:30","186","3:52.4","3:52"
"","","Run","9","4:00.7","33:05","1.00","4:01","3:58","157","162","4","0","178","226","47.7% L / 52.3% R","1.41","9.8","6.7","474","478","5.98","564","7.05","72","3:51","182","4:00.7","4:01"
"","","Run","10","4:05.0","37:10","1.00","4:05","3:58","162","168","14","0","178","228","47.4% L / 52.6% R","1.37","9.8","6.9","500","495","6.19","590","7.38","74","4:00","182","4:04","4:04"
"","","Rest","11","3:00","40:10","0.56","5:22","5:15","142","167","2","0","167","259","48.2% L / 51.8% R","1.14","10.4","8.8","400","385","4.81","535","6.69","45","4:04","177","2:58","5:19"
"","3","Run","12 - 14","11:46","51:56","3.00","3:55","4:01","158","166","0","20","181","223","47.4% L / 52.6% R","1.41","9.6","6.6","494","497","6.21","574","7.18","211","3:36","186","11:45","3:55"
"","","Run","12","3:50.3","44:00","1.00","3:50","3:59","155","162","0","13","181","220","47.3% L / 52.7% R","1.42","9.6","6.6","488","495","6.19","556","6.95","68","3:45","185","3:50.3","3:50"
"","","Run","13","3:56.2","47:56","1.00","3:56","4:03","156","164","0","5","181","224","47.5% L / 52.5% R","1.40","9.4","6.6","481","485","6.06","574","7.18","70","3:36","186","3:55","3:55"
"","","Run","14","3:59.9","51:56","1.00","4:00","4:00","162","166","0","2","179","226","47.4% L / 52.6% R","1.40","9.7","6.7","511","511","6.39","537","6.71","73","3:54","186","3:59","3:59"
"","","Cool Down","15 - 16","8:17.5","1:00:14","1.64","5:03","5:03","140","165","6","3","169","256","48.8% L / 51.2% R","1.17","10.0","8.3","405","399","4.99","526","6.58","126","4:06","179","8:17","5:03"
"","","Cool Down","15","5:10.2","57:06","1.00","5:10","5:08","141","165","5","0","168","259","49.0% L / 51.0% R","1.15","9.9","8.3","410","402","5.03","526","6.58","78","4:06","179","5:10.2","5:10"
"","","Cool Down","16","3:07.3","1:00:14","0.64","4:52","4:55","138","141","1","3","170","252","48.4% L / 51.6% R","1.21","10.1","8.2","395","394","4.93","431","5.39","48","4:30","175","3:06","4:50"
"","Summary","--","--","1:00:14","1:00:14","14.01","4:18","4:18","145","168","35","36","175","236","47.8% L / 52.2% R","1.33","9.9","7.3","465","457","5.71","595","7.44","998","3:30","186","1:00:05","4:17"
