"Laps","Time","Cumulative Time","Distance km","Avg Pace min/km","Avg GAP min/km","Avg HR bpm","Max HR bpm","Total Ascent m","Total Descent m","Avg Power W","Avg W/kg","Max Power W","Max W/kg","Avg Run Cadence spm","Avg Ground Contact Time ms","Avg GCT Balance %","Avg Stride Length m","Avg Vertical Oscillation cm","Avg Vertical Ratio %","Calories C","Avg Temperature","Best Pace min/km","Max Run Cadence spm","Moving Time","Avg Moving Pace min/km","Avg Step Speed Loss cm/s","Avg Step Speed Loss Percent %"
"1","5:09.2","5:09.2","1.00","5:09","--","115","131","0","0","373","4.66","413","5.16","168","261","49.1% L / 50.9% R","1.15","10.0","8.7","57","--","4:38","173","5:09.2","5:09","--","--"
"2","4:45.5","9:54.8","1.00","4:46","--","131","138","4","0","400","5.00","419","5.24","172","251","49.0% L / 51.0% R","1.22","9.9","7.9","68","--","4:32","174","4:45.5","4:46","--","--"
"3","5:00.4","14:55","1.00","5:00","--","136","143","10","0","383","4.79","420","5.25","169","255","48.8% L / 51.2% R","1.18","10.1","8.3","73","--","4:44","173","5:00","5:00","--","--"
"4","5:05.7","20:01","1.00","5:06","4:57","132","139","0","9","373","4.66","450","5.63","169","258","48.9% L / 51.1% R","1.10","10.3","9.3","67","--","4:41","215","5:05.7","5:06","--","--"
"5","4:40.8","24:42","1.00","4:41","4:44","136","138","0","3","434","5.43","464","5.80","169","252","49.0% L / 51.0% R","1.27","10.6","8.1","69","--","4:29","171","4:40.8","4:41","--","--"
"6","4:44.9","29:27","1.00","4:45","4:40","137","144","0","2","446","5.58","486","6.08","168","251","49.1% L / 50.9% R","1.28","10.6","8.1","71","--","4:08","170","4:44.9","4:45","--","--"
"7","4:52.2","34:19","1.00","4:52","4:39","143","147","2","0","417","5.21","454","5.68","169","248","48.8% L / 51.2% R","1.24","10.4","8.2","72","--","4:16","172","4:52","4:52","--","--"
"8","4:54.7","39:13","1.00","4:55","4:54","145","150","1","0","396","4.95","423","5.29","170","249","48.9% L / 51.1% R","1.18","10.3","8.6","68","--","4:41","172","4:54.7","4:55","--","--"
"9","0:55.7","40:09","1.00","0:56","4:56","143","145","0","0","389","4.86","401","5.01","170","247","49.0% L / 51.0% R","1.18","10.3","8.5","12","--","4:44","171","0:55","0:55","--","--"
"10","0:14.8","40:24","1.00","0:15","5:14","145","149","0","1","359","4.49","400","5.00","172","251","48.6% L / 51.4% R","1.15","9.6","8.2","4","--","4:44","173","0:14.8","0:15","--","--"
"11","1:38.4","42:02","0.50","3:18","5:03","131","141","0","0","396","4.95","459","5.74","168","250","48.8% L / 51.2% R","1.16","10.0","8.7","17","--","4:40","175","1:38.4","3:18","--","--"
"12","0:21.7","42:24","0.09","3:57","3:49","144","151","0","0","505","6.31","564","7.05","182","212","48.8% L / 51.2% R","1.39","9.4","6.8","5","--","3:29","187","0:21","3:49","--","--"
"13","0:55.6","43:20","0.10","9:09","9:13","136","152","0","0","184","2.30","499","6.24","122","366","49.8% L / 50.2% R","0.94","7.7","8.4","11","--","3:47","182","0:55.6","9:09","--","--"
"14","0:26.4","43:46","0.13","3:31","3:28","131","145","0","0","558","6.98","648","8.10","190","209","49.0% L / 51.0% R","1.46","8.8","7.1","4","--","3:04","197","0:26","3:28","--","--"
"15","1:03.5","44:50","0.13","8:22","8:26","132","148","0","2","230","2.88","582","7.28","126","424","49.3% L / 50.7% R","1.05","8.8","9.3","12","--","3:29","188","1:02","8:10","--","--"
"16","0:23.6","45:13","0.11","3:29","3:24","126","142","0","0","557","6.96","644","8.05","190","214","49.0% L / 51.0% R","1.46","8.4","6.8","2","--","3:02","199","0:23","3:24","--","--"
"17","0:58.6","46:12","0.11","9:02","9:06","133","146","0","1","185","2.31","585","7.31","122","367","48.4% L / 51.6% R","0.95","7.7","8.4","11","--","3:17","190","0:58.6","9:02","--","--"
"18","0:21.1","46:33","0.11","3:17","3:16","127","145","0","0","583","7.29","688","8.60","193","212","48.9% L / 51.1% R","1.51","8.0","6.3","2","--","2:49","203","0:21","3:16","--","--"
"19","0:59.1","47:32","0.10","9:26","9:25","134","147","0","0","189","2.36","584","7.30","121","464","49.6% L / 50.4% R","0.90","8.0","8.8","11","--","3:18","191","0:59","9:25","--","--"
"20","0:22.4","47:54","0.11","3:33","3:39","128","142","0","0","545","6.81","633","7.91","187","214","48.7% L / 51.3% R","1.39","9.2","7.9","3","--","3:12","194","0:22.4","3:33","--","--"
"21","0:59.0","48:53","0.11","9:20","9:20","131","145","0","0","201","2.51","577","7.21","122","472","49.5% L / 50.5% R","0.91","8.6","9.5","10","--","3:30","187","0:59","9:20","--","--"
"22","0:24.3","49:18","0.12","3:19","3:16","133","147","0","0","577","7.21","654","8.18","195","198","49.3% L / 50.7% R","1.52","8.2","6.4","3","--","2:55","200","0:24","3:16","--","--"
"23","0:52.4","50:10","0.08","10:30","10:37","132","148","0","0","164","2.05","533","6.66","116","476","49.7% L / 50.3% R","0.86","7.9","9.8","9","--","3:53","176","0:51","10:13","--","--"
"Summary","50:10","50:10","11.79","4:15","5:06","134","152","17","19","384","4.80","688","8.60","165","263","49.0% L / 51.0% R","1.18","9.9","8.4","663","--","2:49","215","50:04","4:15","--","--"
