"Laps","Time","Cumulative Time","Distance km","Avg Pace min/km","Avg GAP min/km","Avg HR bpm","Max HR bpm","Total Ascent m","Total Descent m","Avg Power W","Avg W/kg","Max Power W","Max W/kg","Avg Run Cadence spm","Avg Ground Contact Time ms","Avg GCT Balance %","Avg Stride Length m","Avg Vertical Oscillation cm","Avg Vertical Ratio %","Calories C","Avg Temperature","Best Pace min/km","Max Run Cadence spm","Moving Time","Avg Moving Pace min/km","Avg Step Speed Loss cm/s","Avg Step Speed Loss Percent %"
"1","4:41.7","4:41.7","1.00","4:42","4:44","117","131","2","2","429","5.36","513","6.41","167","261","48.7% L / 51.3% R","1.26","10.6","8.1","64","--","4:32","171","4:40","4:40","--","--"
"2","4:32.3","9:14.1","1.00","4:32","4:32","132","136","2","0","439","5.49","470","5.88","171","252","48.6% L / 51.4% R","1.28","10.4","7.9","72","--","4:27","173","4:32","4:32","--","--"
"3","4:33.5","13:48","1.00","4:34","4:29","134","138","7","0","442","5.53","493","6.16","171","254","48.7% L / 51.3% R","1.29","10.3","7.8","73","--","4:27","173","4:33.5","4:34","--","--"
"4","4:30.9","18:19","1.00","4:31","4:32","136","144","7","9","451","5.64","503","6.29","171","254","48.7% L / 51.3% R","1.29","10.4","7.8","71","--","4:20","173","4:30.9","4:31","--","--"
"5","4:30.5","22:49","1.00","4:30","4:32","135","140","0","4","451","5.64","487","6.09","170","254","48.7% L / 51.3% R","1.31","10.4","7.7","69","--","4:15","172","4:30","4:30","--","--"
"6","4:30.6","27:20","1.00","4:31","4:33","135","139","0","4","442","5.53","477","5.96","171","251","48.6% L / 51.4% R","1.30","10.1","7.6","70","--","4:17","174","4:30.6","4:31","--","--"
"7","4:31.6","31:51","1.00","4:32","4:31","141","145","2","0","433","5.41","487","6.09","171","251","48.6% L / 51.4% R","1.30","10.3","7.7","72","--","4:18","174","4:31","4:31","--","--"
"8","4:36.2","36:27","1.00","4:36","4:36","139","144","1","0","429","5.36","474","5.93","170","253","48.6% L / 51.4% R","1.28","10.3","7.8","71","--","4:26","173","4:36.2","4:36","--","--"
"9","4:33.1","41:01","1.00","4:33","4:35","138","142","0","4","437","5.46","462","5.78","171","250","48.5% L / 51.5% R","1.29","10.2","7.7","69","--","4:24","173","4:33","4:33","--","--"
"10","0:04.5","41:05","0.02","4:08","4:30","137","138","0","0","443","5.54","447","5.59","170","253","48.3% L / 51.8% R","1.32","10.4","7.6","1","--","4:27","170","0:03","2:46","--","--"
"Summary","41:05","41:05","9.02","4:33","4:34","134","145","22","24","439","5.49","513","6.41","170","254","48.6% L / 51.4% R","1.29","10.3","7.8","629","--","4:15","174","41:00","4:33","--","--"
