"Laps","Time","Cumulative Time","Distance km","Avg Pace min/km","Avg GAP min/km","Avg HR bpm","Max HR bpm","Total Ascent m","Total Descent m","Avg Power W","Avg W/kg","Max Power W","Max W/kg","Avg Run Cadence spm","Avg Ground Contact Time ms","Avg GCT Balance %","Avg Stride Length m","Avg Vertical Oscillation cm","Avg Vertical Ratio %","Calories C","Avg Temperature","Best Pace min/km","Max Run Cadence spm","Moving Time","Avg Moving Pace min/km","Avg Step Speed Loss cm/s","Avg Step Speed Loss Percent %"
"1","4:58.9","4:58.9","1.00","4:59","5:01","121","131","1","0","403","5.04","548","6.85","169","265","49.3% L / 50.7% R","1.17","9.6","8.1","69","--","4:31","173","4:58.9","4:59","--","--"
"2","4:46.4","9:45.4","1.00","4:46","4:46","133","140","3","0","424","5.30","473","5.91","171","255","48.9% L / 51.1% R","1.22","9.7","7.8","72","--","4:42","174","4:46","4:46","--","--"
"3","4:36.8","14:22","1.00","4:37","4:34","139","144","2","3","449","5.61","574","7.18","171","251","49.1% L / 50.9% R","1.28","10.1","7.6","71","--","3:44","174","4:36.8","4:37","--","--"
"4","4:45.3","19:07","1.00","4:45","4:50","138","143","1","8","426","5.33","499","6.24","172","252","49.2% L / 50.8% R","1.22","9.8","7.8","71","--","4:35","175","4:45","4:45","--","--"
"5","4:45.0","23:52","1.00","4:45","4:45","142","147","4","3","439","5.49","515","6.44","173","247","49.2% L / 50.8% R","1.21","9.6","7.7","72","--","4:40","175","4:45.0","4:45","--","--"
"6","4:45.4","28:38","1.00","4:45","4:43","146","151","5","0","440","5.50","481","6.01","172","249","49.2% L / 50.8% R","1.22","9.6","7.6","74","--","4:38","175","4:45.4","4:45","--","--"
"7","4:48.9","33:27","1.00","4:49","4:52","147","154","0","3","432","5.40","491","6.14","173","253","49.4% L / 50.6% R","1.20","9.5","7.7","75","--","4:33","175","4:48.9","4:49","--","--"
"8","4:45.9","38:13","1.00","4:46","4:45","149","153","1","2","441","5.51","461","5.76","173","247","49.3% L / 50.7% R","1.21","9.5","7.6","76","--","4:38","176","4:45.9","4:46","--","--"
"9","4:44.4","42:57","1.00","4:44","4:44","146","152","2","0","448","5.60","524","6.55","173","249","49.3% L / 50.7% R","1.21","9.5","7.7","72","--","4:20","178","4:44","4:44","--","--"
"10","4:44.6","47:42","1.00","4:45","4:48","141","150","1","2","407","5.09","511","6.39","172","251","49.3% L / 50.7% R","1.23","9.7","7.9","72","--","4:24","179","4:42","4:42","--","--"
"11","4:45.5","52:27","1.00","4:46","4:46","146","150","0","1","392","4.90","424","5.30","172","247","49.4% L / 50.6% R","1.22","9.8","7.8","72","--","4:40","174","4:45","4:45","--","--"
"12","4:45.0","57:12","1.00","4:45","4:45","148","152","1","0","398","4.98","427","5.34","171","249","49.5% L / 50.5% R","1.23","9.9","7.8","74","--","4:41","174","4:45.0","4:45","--","--"
"13","4:41.9","1:01:54","1.00","4:42","4:42","150","154","2","2","400","5.00","423","5.29","172","247","49.5% L / 50.5% R","1.24","9.9","7.7","74","--","4:35","175","4:41.9","4:42","--","--"
"14","4:46.3","1:06:40","1.00","4:46","4:45","149","153","3","1","400","5.00","457","5.71","171","248","49.7% L / 50.3% R","1.23","10.1","7.9","74","--","4:41","174","4:46","4:46","--","--"
"15","4:50.0","1:11:30","1.00","4:50","4:50","149","153","4","2","400","5.00","498","6.23","170","251","49.4% L / 50.6% R","1.21","9.9","7.9","74","--","4:44","173","4:50.0","4:50","--","--"
"16","4:52.3","1:16:23","1.00","4:52","4:47","153","158","7","0","411","5.14","488","6.10","169","251","49.4% L / 50.6% R","1.21","10.3","8.2","77","--","4:43","173","4:52.3","4:52","--","--"
"17","4:50.4","1:21:13","1.00","4:50","4:53","150","154","1","4","402","5.03","465","5.81","170","250","49.4% L / 50.6% R","1.22","10.2","8.2","75","--","4:43","173","4:50","4:50","--","--"
"18","4:48.1","1:26:01","1.00","4:48","4:50","149","152","0","4","395","4.94","435","5.44","170","246","49.5% L / 50.5% R","1.22","10.1","8.1","72","--","4:43","173","4:48","4:48","--","--"
"19","4:48.9","1:30:50","1.00","4:49","4:50","151","156","0","2","404","5.05","429","5.36","170","249","49.4% L / 50.6% R","1.23","10.2","8.0","74","--","4:46","173","4:48.9","4:49","--","--"
"20","4:54.4","1:35:44","1.00","4:54","4:54","153","157","2","0","407","5.09","439","5.49","169","250","49.7% L / 50.3% R","1.20","10.2","8.2","76","--","4:47","173","4:54.4","4:54","--","--"
"21","4:49.3","1:40:34","1.00","4:49","4:51","152","155","1","4","401","5.01","431","5.39","168","249","49.7% L / 50.3% R","1.23","10.4","8.2","72","--","4:44","171","4:49","4:49","--","--"
"22","0:43.9","1:41:18","0.15","4:46","4:54","154","155","0","1","402","5.03","415","5.19","168","250","49.9% L / 50.1% R","1.23","10.3","8.2","11","--","4:49","170","0:43","4:40","--","--"
"Summary","1:41:18","1:41:18","21.15","4:47","4:48","145","158","42","43","415","5.19","574","7.18","171","250","49.4% L / 50.6% R","1.22","9.9","7.9","1,548","--","3:44","179","1:41:11","4:47","--","--"
