"Laps","Time","Cumulative Time","Distance km","Avg Pace min/km","Avg GAP min/km","Avg HR bpm","Max HR bpm","Total Ascent m","Total Descent m","Avg Power W","Avg W/kg","Max Power W","Max W/kg","Avg Run Cadence spm","Avg Ground Contact Time ms","Avg GCT Balance %","Avg Stride Length m","Avg Vertical Oscillation cm","Avg Vertical Ratio %","Calories C","Avg Temperature","Best Pace min/km","Max Run Cadence spm","Moving Time","Avg Moving Pace min/km","Avg Step Speed Loss cm/s","Avg Step Speed Loss Percent %"
"1","5:16.5","5:16.5","1.00","5:16","--","111","121","0","0","353","4.41","436","5.45","163","269","--","1.18","9.5","8.1","55","--","4:35","171","5:09","5:09","--","--"
"2","4:54.9","10:11","1.00","4:55","--","122","127","4","0","376","4.70","387","4.84","169","260","--","1.21","9.4","7.8","60","--","4:50","173","4:54.9","4:55","--","--"
"3","5:08.4","15:20","1.00","5:08","--","128","137","7","0","358","4.48","421","5.26","164","266","--","1.20","9.5","7.9","67","--","4:38","170","5:01","5:01","--","--"
"4","5:13.7","20:33","1.00","5:14","--","128","138","6","12","341","4.26","392","4.90","164","265","--","1.19","9.4","7.9","65","--","4:39","172","5:02","5:02","--","--"
"5","5:12.3","25:46","1.00","5:12","--","125","131","0","3","354","4.43","394","4.93","164","267","--","1.19","9.5","8.0","58","--","4:51","169","5:05","5:05","--","--"
"6","4:14.3","30:00","0.84","5:01","--","126","129","0","1","367","4.59","399","4.99","167","265","--","1.20","9.5","7.9","46","--","4:54","171","4:14","5:01","--","--"
"7","5:00.1","35:00","1.00","5:00","--","128","133","0","3","369","4.61","388","4.85","167","266","--","1.20","9.5","7.9","56","--","4:50","170","5:00","5:00","--","--"
"8","5:02.4","40:02","1.00","5:02","--","127","133","3","0","368","4.60","384","4.80","166","268","--","1.20","9.6","8.0","53","--","4:54","169","5:02.4","5:02","--","--"
"9","5:00.3","45:03","1.00","5:00","--","127","131","0","3","368","4.60","381","4.76","167","266","--","1.20","9.6","7.9","51","--","4:54","171","5:00","5:00","--","--"
"10","0:23.1","45:26","0.08","4:56","--","129","129","0","0","370","4.63","380","4.75","165","268","--","1.21","9.7","8.0","4","--","4:56","167","0:22","4:42","--","--"
"Summary","45:26","45:26","8.92","5:06","--","125","138","20","22","361","4.51","436","5.45","165","266","--","1.20","9.5","7.9","515","--","4:35","173","44:50","5:02","--","--"
