"Laps","Time","Cumulative Time","Distance km","Avg Pace min/km","Avg GAP min/km","Avg HR bpm","Max HR bpm","Total Ascent m","Total Descent m","Avg Power W","Avg W/kg","Max Power W","Max W/kg","Avg Run Cadence spm","Avg Ground Contact Time ms","Avg GCT Balance %","Avg Stride Length m","Avg Vertical Oscillation cm","Avg Vertical Ratio %","Calories C","Avg Temperature","Best Pace min/km","Max Run Cadence spm","Moving Time","Avg Moving Pace min/km","Avg Step Speed Loss cm/s","Avg Step Speed Loss Percent %"
"1","4:48.7","4:48.7","1.00","4:49","4:51","109","121","3","1","432","5.40","495","6.19","166","261","48.1% L / 51.9% R","1.24","10.7","8.4","63","--","4:27","170","4:47","4:47","--","--"
"2","4:33.7","9:22.4","1.00","4:34","4:32","122","129","4","0","454","5.68","520","6.50","171","251","48.6% L / 51.4% R","1.28","10.3","7.8","67","--","4:22","174","4:33.7","4:34","--","--"
"3","4:35.0","13:57","1.00","4:35","4:31","127","133","6","0","465","5.81","542","6.78","171","251","48.2% L / 51.8% R","1.28","10.2","7.8","71","--","4:29","175","4:35","4:35","--","--"
"4","4:25.4","18:23","1.00","4:25","4:29","130","140","9","18","459","5.74","535","6.69","171","245","48.7% L / 51.3% R","1.31","10.4","7.7","67","--","4:10","175","4:25","4:25","--","--"
"5","4:27.0","22:50","1.00","4:27","4:24","131","137","4","2","476","5.95","582","7.28","171","246","48.8% L / 51.3% R","1.32","10.2","7.5","69","--","4:18","174","4:27","4:27","--","--"
"6","4:26.4","27:16","1.00","4:26","4:27","131","138","4","6","461","5.76","567","7.09","172","244","48.6% L / 51.4% R","1.31","10.1","7.5","68","--","4:16","176","4:26","4:26","--","--"
"7","4:02.7","31:19","1.00","4:03","4:21","135","138","0","1","441","5.51","571","7.14","172","243","48.5% L / 51.5% R","1.34","10.1","7.3","64","--","3:46","174","4:02.7","4:03","--","--"
"8","3:31.1","34:50","1.00","3:31","4:26","137","142","0","1","435","5.44","544","6.80","173","244","48.5% L / 51.5% R","1.38","10.0","7.0","56","--","3:43","176","3:31","3:31","--","--"
"9","4:19.8","39:10","1.00","4:20","4:23","133","145","1","3","439","5.49","517","6.46","172","246","48.6% L / 51.4% R","1.34","10.1","7.5","68","--","3:56","178","4:19","4:19","--","--"
"10","4:26.7","43:37","1.00","4:27","4:27","138","144","1","2","431","5.39","459","5.74","171","248","48.2% L / 51.8% R","1.32","10.0","7.3","70","--","4:21","174","4:26.7","4:27","--","--"
"11","4:26.0","48:03","1.00","4:26","4:26","140","147","2","1","438","5.48","499","6.24","171","245","48.4% L / 51.6% R","1.32","10.3","7.6","70","--","4:17","174","4:26","4:26","--","--"
"12","4:21","52:24","1.00","4:21","4:21","141","146","3","1","449","5.61","506","6.33","172","245","48.3% L / 51.7% R","1.34","10.2","7.3","69","--","4:17","175","4:21","4:21","--","--"
"13","0:02.4","52:26","0.01","5:07","4:24","145","145","0","0","461","5.76","482","6.03","166","245","48.0% L / 52.0% R","1.50","11.6","7.4","1","--","4:21","170","0:01","2:07","--","--"
"Summary","52:26","52:26","12.01","4:22","4:28","131","147","38","37","448","5.60","582","7.28","171","248","48.5% L / 51.5% R","1.31","10.2","7.6","801","--","3:43","178","52:21","4:22","--","--"
