"Laps","Time","Cumulative Time","Distance km","Avg Pace min/km","Avg GAP min/km","Avg HR bpm","Max HR bpm","Total Ascent m","Total Descent m","Avg Power W","Avg W/kg","Max Power W","Max W/kg","Avg Run Cadence spm","Avg Ground Contact Time ms","Avg GCT Balance %","Avg Stride Length m","Avg Vertical Oscillation cm","Avg Vertical Ratio %","Calories C","Avg Temperature","Best Pace min/km","Max Run Cadence spm","Moving Time","Avg Moving Pace min/km","Avg Step Speed Loss cm/s","Avg Step Speed Loss Percent %"
"1","4:44.0","4:44.0","1.00","4:44","4:45","123","136","1","0","428","5.35","530","6.63","171","252","48.2% L / 51.8% R","1.23","9.8","7.9","68","--","4:29","175","4:44","4:44","--","--"
"2","4:29.0","9:13.0","1.00","4:29","4:28","137","140","2","0","455","5.69","478","5.98","176","241","47.8% L / 52.2% R","1.27","9.4","7.2","74","--","4:21","178","4:29","4:29","--","--"
"3","4:34.4","13:47","1.00","4:34","4:30","138","143","7","0","442","5.53","519","6.49","175","246","48.0% L / 52.0% R","1.25","9.5","7.4","74","--","4:29","178","4:34","4:34","--","--"
"4","4:35.5","18:23","1.00","4:35","4:35","138","147","8","8","427","5.34","504","6.30","173","247","48.2% L / 51.8% R","1.26","9.7","7.5","73","--","4:21","176","4:35","4:35","--","--"
"5","4:42.1","23:05","1.00","4:42","4:38","133","138","1","8","433","5.41","550","6.88","172","249","48.0% L / 52.0% R","1.26","9.8","7.5","71","--","4:10","174","4:42","4:42","--","--"
"6","4:34.1","27:39","1.00","4:34","4:40","137","143","0","6","440","5.50","508","6.35","170","247","48.3% L / 51.7% R","1.28","10.1","8.0","71","--","4:25","176","4:34.1","4:34","--","--"
"7","4:31.7","32:11","1.00","4:32","4:30","144","146","0","2","436","5.45","573","7.16","173","243","48.1% L / 51.9% R","1.29","9.9","7.5","73","--","3:37","176","4:31.7","4:32","--","--"
"8","4:30.5","36:41","1.00","4:30","4:30","145","148","3","0","414","5.18","457","5.71","176","239","47.9% L / 52.1% R","1.26","9.6","7.4","73","--","4:17","178","4:30","4:30","--","--"
"9","4:31.8","41:13","1.00","4:32","4:33","144","148","1","0","436","5.45","488","6.10","173","242","48.1% L / 51.9% R","1.27","9.9","7.5","72","--","4:16","179","4:31.8","4:32","--","--"
"10","4:32.2","45:45","1.00","4:32","4:32","143","149","1","2","417","5.21","486","6.08","174","241","48.3% L / 51.7% R","1.27","9.7","7.4","72","--","4:19","180","4:32","4:32","--","--"
"11","4:29.0","50:14","1.00","4:29","4:31","144","147","0","1","468","5.85","519","6.49","175","240","48.1% L / 51.9% R","1.28","9.6","7.3","71","--","4:10","179","4:29","4:29","--","--"
"12","4:26.8","54:41","1.00","4:27","4:27","146","150","0","0","439","5.49","514","6.43","177","240","47.8% L / 52.2% R","1.27","9.4","7.1","71","--","4:16","179","4:26.8","4:27","--","--"
"13","4:28.1","59:09","1.00","4:28","4:25","147","153","3","1","429","5.36","516","6.45","176","241","48.0% L / 52.0% R","1.28","9.5","7.2","72","--","4:21","178","4:28","4:28","--","--"
"14","4:36.2","1:03:45","1.00","4:36","4:37","148","153","6","0","429","5.36","493","6.16","169","249","48.3% L / 51.7% R","1.28","10.1","7.8","76","--","4:21","177","4:32","4:32","--","--"
"15","4:28.5","1:08:14","1.00","4:29","4:25","149","156","10","2","454","5.68","527","6.59","174","241","48.4% L / 51.6% R","1.28","9.8","7.4","73","--","4:04","179","4:28","4:28","--","--"
"16","4:22.9","1:12:37","1.00","4:23","4:28","145","150","0","11","420","5.25","519","6.49","175","239","47.9% L / 52.1% R","1.31","9.8","7.4","69","--","3:57","180","4:20","4:20","--","--"
"17","4:25.1","1:17:02","1.00","4:25","4:28","147","152","0","4","418","5.23","453","5.66","173","239","48.5% L / 51.5% R","1.30","9.9","7.4","70","--","4:12","176","4:25","4:25","--","--"
"18","4:28.0","1:21:30","1.00","4:28","4:28","147","149","0","2","418","5.23","443","5.54","174","243","48.4% L / 51.6% R","1.30","9.8","7.3","70","--","4:21","176","4:28.0","4:28","--","--"
"19","0:04.6","1:21:35","0.02","3:50","4:31","149","149","0","0","437","5.46","444","5.55","171","252","47.7% L / 52.3% R","1.29","9.9","7.5","1","--","4:31","172","0:04","3:19","--","--"
"Summary","1:21:35","1:21:35","18.02","4:32","4:32","142","156","45","48","434","5.43","573","7.16","174","243","48.1% L / 51.9% R","1.27","9.7","7.4","1,295","--","3:37","180","1:21:25","4:31","--","--"
