"Laps","Time","Cumulative Time","Distance km","Avg Pace min/km","Avg GAP min/km","Avg HR bpm","Max HR bpm","Total Ascent m","Total Descent m","Avg Power W","Avg W/kg","Max Power W","Max W/kg","Avg Run Cadence spm","Avg Ground Contact Time ms","Avg GCT Balance %","Avg Stride Length m","Avg Vertical Oscillation cm","Avg Vertical Ratio %","Calories C","Avg Temperature","Best Pace min/km","Max Run Cadence spm","Moving Time","Avg Moving Pace min/km","Avg Step Speed Loss cm/s","Avg Step Speed Loss Percent %"
"11","4:35.0","50:34","1.00","4:35","4:34","139","142","5","4","431","5.39","479","5.99","171","246","47.9% L / 52.1% R","1.27","10.1","7.7","71","--","4:23","176","4:35","4:35","--","--"
"12","4:33.7","55:08","1.00","4:34","4:31","142","147","6","1","439","5.49","497","6.21","173","246","47.7% L / 52.3% R","1.26","9.8","7.5","73","--","4:27","177","4:33.7","4:34","--","--"
"13","4:23.8","59:31","1.00","4:24","4:26","142","145","0","4","437","5.46","481","6.01","175","240","47.8% L / 52.3% R","1.30","10.0","7.4","70","--","4:18","177","4:23.8","4:24","--","--"
"14","4:28.8","1:04:00","1.00","4:29","4:29","144","146","0","1","435","5.44","458","5.73","172","245","47.8% L / 52.2% R","1.30","10.1","7.5","71","--","4:21","175","4:28","4:28","--","--"
"15","4:30.0","1:08:30","1.00","4:30","4:28","145","150","5","2","449","5.61","565","7.06","172","243","48.1% L / 51.9% R","1.29","10.2","7.7","73","--","4:25","175","4:30","4:30","--","--"
"16","4:28.7","1:12:59","1.00","4:29","4:36","140","146","0","8","435","5.44","516","6.45","170","243","48.5% L / 51.5% R","1.31","10.5","7.9","66","--","4:12","177","4:27","4:27","--","--"
"17","4:36.5","1:17:35","1.00","4:37","4:37","136","142","1","4","426","5.33","514","6.43","170","247","48.6% L / 51.4% R","1.29","10.5","7.9","73","--","4:23","172","4:36.5","4:37","--","--"
"18","4:27.0","1:22:02","1.00","4:27","4:28","142","146","0","3","436","5.45","520","6.50","171","242","48.6% L / 51.4% R","1.32","10.6","7.8","70","--","4:19","174","4:27","4:27","--","--"
"19","4:33.4","1:26:36","1.00","4:33","4:34","143","148","0","0","427","5.34","454","5.68","170","243","48.8% L / 51.2% R","1.29","10.5","7.9","71","--","4:27","172","4:33","4:33","--","--"
"20","4:33.5","1:31:09","1.00","4:33","4:35","144","148","0","2","428","5.35","446","5.58","169","245","48.5% L / 51.5% R","1.30","10.6","7.9","71","--","4:30","172","4:33.5","4:33","--","--"
"21","4:37.0","1:35:46","1.00","4:37","4:34","145","153","5","1","435","5.44","519","6.49","168","250","48.5% L / 51.5% R","1.29","10.7","8.0","73","--","4:32","170","4:37","4:37","--","--"
"22","4:38.8","1:40:25","1.00","4:39","4:38","146","153","1","1","427","5.34","491","6.14","169","246","48.5% L / 51.5% R","1.27","10.6","8.1","74","--","4:33","172","4:38","4:38","--","--"
"23","4:33.6","1:44:59","1.00","4:34","4:36","145","148","0","5","425","5.31","496","6.20","171","244","48.3% L / 51.7% R","1.28","10.3","7.8","71","--","4:26","173","4:33.6","4:34","--","--"
"24","4:43.2","1:49:42","1.00","4:43","4:42","145","151","1","0","423","5.29","478","5.98","169","250","48.3% L / 51.7% R","1.26","10.6","8.2","74","--","4:37","171","4:43","4:43","--","--"
"25","0:19.4","1:50:01","0.07","4:47","4:45","145","146","0","0","417","5.21","422","5.28","167","257","48.3% L / 51.7% R","1.24","10.5","8.3","5","--","4:43","169","0:19","4:42","--","--"
"Summary","1:50:01","1:50:01","24.07","4:34","4:34","138","153","68","67","429","5.36","680","8.50","171","246","48.1% L / 51.9% R","1.28","10.2","7.8","1,715","--","3:06","178","1:49:54","4:34","--","--"
