"Laps","Time","Cumulative Time","Distance km","Avg Pace min/km","Avg GAP min/km","Avg HR bpm","Max HR bpm","Total Ascent m","Total Descent m","Avg Power W","Avg W/kg","Max Power W","Max W/kg","Avg Run Cadence spm","Avg Ground Contact Time ms","Avg GCT Balance %","Avg Stride Length m","Avg Vertical Oscillation cm","Avg Vertical Ratio %","Calories C","Avg Temperature","Best Pace min/km","Max Run Cadence spm","Moving Time","Avg Moving Pace min/km","Avg Step Speed Loss cm/s","Avg Step Speed Loss Percent %"
"1","4:45.2","4:45.2","1.00","4:45","4:52","107","128","1","0","407","5.09","680","8.50","167","263","48.9% L / 51.1% R","1.25","10.1","7.9","61","--","3:06","173","4:44","4:44","--","--"
"2","4:30.6","9:15.8","1.00","4:31","4:30","129","131","0","0","422","5.28","465","5.81","173","245","47.4% L / 52.6% R","1.28","9.8","7.4","72","--","4:25","176","4:30.6","4:31","--","--"
"3","4:34.0","13:50","1.00","4:34","4:31","130","135","3","1","432","5.40","474","5.93","174","241","47.3% L / 52.7% R","1.26","9.8","7.6","74","--","4:25","178","4:34.0","4:34","--","--"
"4","4:36.8","18:27","1.00","4:37","4:36","133","139","5","0","435","5.44","475","5.94","173","247","47.6% L / 52.4% R","1.25","9.9","7.7","75","--","4:27","176","4:36.8","4:37","--","--"
"5","4:41.7","23:08","1.00","4:42","4:33","136","143","13","1","444","5.55","493","6.16","172","248","47.6% L / 52.4% R","1.24","9.9","7.8","76","--","4:29","175","4:41","4:41","--","--"
"6","4:37.1","27:45","1.00","4:37","4:42","130","141","4","19","407","5.09","491","6.14","173","244","48.1% L / 51.9% R","1.25","9.9","7.7","68","--","4:24","175","4:37","4:37","--","--"
"7","4:32.1","32:17","1.00","4:32","4:30","136","142","4","1","430","5.38","471","5.89","173","245","47.6% L / 52.4% R","1.28","10.0","7.6","72","--","4:28","175","4:32.1","4:32","--","--"
"8","4:36.9","36:54","1.00","4:37","4:34","140","143","5","0","426","5.33","526","6.58","171","245","48.0% L / 52.0% R","1.26","10.1","7.8","74","--","4:27","175","4:36.9","4:37","--","--"
"9","4:30.8","41:25","1.00","4:31","4:29","138","143","2","0","429","5.36","450","5.63","173","241","48.0% L / 52.0% R","1.28","10.0","7.6","71","--","4:24","176","4:30","4:30","--","--"
"10","4:33.7","45:59","1.00","4:34","4:35","137","144","5","8","421","5.26","506","6.33","173","243","47.8% L / 52.2% R","1.27","10.0","7.7","70","--","4:29","175","4:33.7","4:34","--","--"
