"Laps","Time","Cumulative Time","Distance km","Avg Pace min/km","Avg GAP min/km","Avg HR bpm","Max HR bpm","Total Ascent m","Total Descent m","Avg Power W","Avg W/kg","Max Power W","Max W/kg","Avg Run Cadence spm","Avg Ground Contact Time ms","Avg GCT Balance %","Avg Stride Length m","Avg Vertical Oscillation cm","Avg Vertical Ratio %","Calories C","Avg Temperature","Best Pace min/km","Max Run Cadence spm","Moving Time","Avg Moving Pace min/km","Avg Step Speed Loss cm/s","Avg Step Speed Loss Percent %"
"1","4:40.6","4:40.6","1.00","4:41","4:43","123","133","1","1","429","5.36","497","6.21","170","253","47.7% L / 52.3% R","1.24","10.1","7.9","68","--","4:27","174","4:40","4:40","--","--"
"2","4:30.8","9:11.4","1.00","4:31","4:36","135","139","3","0","442","5.53","460","5.75","171","247","48.7% L / 51.3% R","1.26","10.0","7.7","73","--","4:27","173","4:30.8","4:31","--","--"
"3","4:38.9","13:50","1.00","4:39","4:33","139","147","7","0","448","5.60","497","6.21","169","253","48.8% L / 51.2% R","1.28","10.4","7.9","77","--","4:33","171","4:38.9","4:39","--","--"
"4","4:31.2","18:21","1.00","4:31","4:34","141","149","8","17","444","5.55","519","6.49","170","250","49.0% L / 51.0% R","1.30","10.6","7.9","73","--","4:18","172","4:31","4:31","--","--"
"5","4:35.9","22:57","1.00","4:36","4:33","142","147","5","3","438","5.48","538","6.73","169","250","48.6% L / 51.4% R","1.29","10.6","8.0","75","--","4:22","172","4:35.9","4:36","--","--"
"6","5:00.6","27:58","1.00","5:01","4:55","142","148","6","7","408","5.10","531","6.64","169","249","48.9% L / 51.1% R","1.19","10.7","8.9","76","--","4:05","173","5:00","5:00","--","--"
"7","4:58.1","32:56","1.00","4:58","4:59","145","149","0","1","393","4.91","423","5.29","170","247","48.9% L / 51.1% R","1.19","10.5","8.7","71","--","4:41","172","4:58.1","4:58","--","--"
"8","5:10.4","38:07","1.00","5:10","5:11","147","150","0","0","386","4.83","411","5.14","168","249","49.1% L / 50.9% R","1.15","10.7","9.1","74","--","4:50","171","5:10","5:10","--","--"
"9","4:58.9","43:05","1.00","4:59","5:00","148","151","1","2","390","4.88","424","5.30","169","248","49.0% L / 51.0% R","1.18","10.5","8.7","82","--","4:30","173","4:58.9","4:59","--","--"
"10","0:25.0","43:30","1.00","0:25","5:00","150","153","0","0","397","4.96","448","5.60","170","250","48.8% L / 51.2% R","1.20","10.4","8.4","7","--","4:45","171","0:25.0","0:25","--","--"
"11","0:16.6","43:47","1.00","0:17","0:46","148","149","0","0","413","5.16","437","5.46","170","251","48.9% L / 51.1% R","1.20","10.2","8.3","5","--","0:18","171","0:16.6","0:17","--","--"
"12","2:27.8","46:15","1.00","2:28","2:47","148","151","0","0","400","5.00","457","5.71","167","257","49.3% L / 50.7% R","1.30","10.4","8.6","41","--","0:18","169","2:27.8","2:28","--","--"
"13","5:31.9","51:47","1.00","5:32","5:33","151","154","3","0","374","4.68","402","5.03","165","256","49.2% L / 50.8% R","1.09","10.9","9.8","95","--","5:07","168","5:31","5:31","--","--"
"14","0:49.2","52:36","0.15","5:33","5:35","151","153","1","1","372","4.65","431","5.39","165","259","49.1% L / 50.9% R","1.07","10.8","9.9","14","--","5:20","167","0:48","5:25","--","--"
"Summary","52:36","52:36","13.15","4:00","4:36","142","154","36","33","412","5.15","538","6.73","169","251","48.8% L / 51.2% R","1.21","10.5","8.5","831","--","0:18","174","52:32","4:00","--","--"
