"Laps","Time","Cumulative Time","Distance km","Avg Pace min/km","Avg GAP min/km","Avg HR bpm","Max HR bpm","Total Ascent m","Total Descent m","Avg Power W","Avg W/kg","Max Power W","Max W/kg","Avg Run Cadence spm","Avg Ground Contact Time ms","Avg GCT Balance %","Avg Stride Length m","Avg Vertical Oscillation cm","Avg Vertical Ratio %","Calories C","Avg Temperature","Best Pace min/km","Max Run Cadence spm","Moving Time","Avg Moving Pace min/km","Avg Step Speed Loss cm/s","Avg Step Speed Loss Percent %"
"1","5:01.9","5:01.9","1.00","5:02","4:56","109","120","2","0","395","4.94","529","6.61","165","265","--","1.23","9.6","7.9","61","--","4:01","171","5:00","5:00","--","--"
"2","4:49.8","9:51.7","1.00","4:50","4:48","119","124","3","0","405","5.06","424","5.30","169","259","--","1.23","9.5","7.7","69","--","4:42","172","4:49.8","4:50","--","--"
"3","4:56.5","14:48","1.00","4:56","4:49","123","131","12","0","423","5.29","463","5.79","166","265","--","1.22","9.6","7.9","72","--","4:50","171","4:56.5","4:57","--","--"
"4","4:54.7","19:43","1.00","4:55","5:00","118","129","4","19","387","4.84","497","6.21","166","265","--","1.24","9.7","7.9","65","--","4:45","169","4:54","4:54","--","--"
"5","5:07.4","24:50","1.00","5:07","4:53","126","139","20","4","406","5.08","545","6.81","164","272","--","1.19","9.7","8.1","74","--","4:49","167","5:07.4","5:07","--","--"
"6","5:00.8","29:51","1.00","5:01","5:08","116","124","0","13","357","4.46","386","4.83","165","268","--","1.21","9.7","8.0","63","--","4:47","167","5:00","5:00","--","--"
"7","4:55.9","34:47","1.00","4:56","4:56","121","125","0","2","381","4.76","420","5.25","166","265","--","1.23","9.7","7.9","65","--","4:44","169","4:55.9","4:56","--","--"
"8","4:56.3","39:43","1.00","4:56","4:57","122","126","0","3","375","4.69","382","4.78","166","265","--","1.23","9.7","7.9","66","--","4:50","169","4:56.3","4:56","--","--"
"9","0:03.8","39:47","0.01","5:01","5:08","125","125","0","0","365","4.56","365","4.56","165","270","--","1.19","9.7","8.1","1","--","5:06","165","0:02","2:39","--","--"
"Summary","39:47","39:47","8.01","4:58","4:56","119","139","41","42","391","4.89","545","6.81","166","266","--","1.22","9.6","7.9","534","--","4:01","172","39:42","4:57","--","--"
