"Laps","Time","Cumulative Time","Distance km","Avg Pace min/km","Avg GAP min/km","Avg HR bpm","Max HR bpm","Total Ascent m","Total Descent m","Avg Power W","Avg W/kg","Max Power W","Max W/kg","Avg Run Cadence spm","Avg Ground Contact Time ms","Avg GCT Balance %","Avg Stride Length m","Avg Vertical Oscillation cm","Avg Vertical Ratio %","Calories C","Avg Temperature","Best Pace min/km","Max Run Cadence spm","Moving Time","Avg Moving Pace min/km","Avg Step Speed Loss cm/s","Avg Step Speed Loss Percent %"
"1","4:45.0","4:45.0","0.91","5:12","5:12","122","142","3","1","364","4.55","408","5.10","164","258","47.7% L / 52.3% R","1.17","10.0","8.4","60","--","4:41","173","4:43","5:10","--","--"
"2","4:48.5","9:33.5","1.00","4:48","4:48","133","141","2","0","395","4.94","416","5.20","171","252","48.2% L / 51.8% R","1.10","9.9","8.9","72","--","4:33","174","4:48.5","4:48","--","--"
"3","4:50.9","14:24","1.00","4:51","4:51","140","148","9","0","392","4.90","420","5.25","171","252","48.3% L / 51.7% R","1.03","10.0","9.5","76","--","4:33","174","4:50.9","4:51","--","--"
"4","4:49.2","19:14","1.00","4:49","4:51","135","148","5","10","383","4.79","454","5.68","170","252","48.9% L / 51.1% R","1.07","10.0","9.4","66","--","4:28","176","4:49.2","4:49","--","--"
"5","4:55.4","24:09","1.00","4:55","4:56","138","144","1","7","384","4.80","412","5.15","170","249","48.7% L / 51.3% R","1.19","10.2","8.3","72","--","4:29","175","4:55","4:55","--","--"
"6","4:39.4","28:48","1.00","4:39","4:39","144","148","2","3","405","5.06","504","6.30","172","243","48.8% L / 51.2% R","1.25","10.1","7.9","73","--","4:05","182","4:39.4","4:39","--","--"
"7","4:37.7","33:26","1.00","4:38","4:39","146","153","0","1","404","5.05","467","5.84","172","247","48.8% L / 51.2% R","1.24","9.9","7.9","74","--","4:13","178","4:37.7","4:38","--","--"
"8","4:33.4","37:59","1.00","4:33","4:33","149","152","0","3","409","5.11","436","5.45","173","244","48.9% L / 51.1% R","1.27","9.8","7.5","75","--","4:22","176","4:33","4:33","--","--"
"9","4:26.2","42:26","1.00","4:26","4:26","148","154","0","0","420","5.25","477","5.96","175","241","49.0% L / 51.0% R","1.29","9.7","7.3","71","--","4:17","178","4:26.2","4:26","--","--"
"10","4:35.5","47:01","1.00","4:36","4:35","152","157","4","3","402","5.03","431","5.39","173","242","49.0% L / 51.0% R","1.26","9.9","7.6","77","--","4:21","176","4:35","4:35","--","--"
"11","4:31.1","51:32","1.00","4:31","4:31","153","156","3","0","412","5.15","466","5.83","173","238","49.2% L / 50.8% R","1.28","9.9","7.5","76","--","4:08","179","4:31","4:31","--","--"
"12","4:28.1","56:00","1.00","4:28","4:28","153","157","1","1","416","5.20","446","5.58","174","241","48.9% L / 51.1% R","1.29","9.8","7.4","75","--","4:14","177","4:28","4:28","--","--"
"13","4:35.8","1:00:36","1.00","4:36","4:41","153","157","0","1","403","5.04","431","5.39","170","244","48.9% L / 51.1% R","1.21","10.0","8.0","77","--","4:25","175","4:35.8","4:36","--","--"
"14","4:24.8","1:05:01","1.00","4:25","4:29","153","155","1","0","427","5.34","556","6.95","171","246","48.9% L / 51.1% R","1.29","10.0","7.6","74","--","3:41","175","4:24.8","4:25","--","--"
"15","4:33.8","1:09:35","1.00","4:34","4:33","148","152","0","1","441","5.51","469","5.86","170","248","49.4% L / 50.6% R","1.30","10.3","7.7","74","--","4:26","173","4:33.8","4:34","--","--"
"16","4:30.4","1:14:05","1.00","4:30","4:32","150","152","0","0","438","5.48","451","5.64","170","245","49.4% L / 50.6% R","1.30","10.1","7.5","73","--","4:25","173","4:30","4:30","--","--"
"17","4:29.2","1:18:34","1.00","4:29","4:28","153","155","2","0","444","5.55","480","6.00","170","247","49.2% L / 50.8% R","1.31","10.1","7.5","74","--","4:24","172","4:29","4:29","--","--"
"18","4:25.0","1:22:59","1.00","4:25","4:27","152","155","0","3","436","5.45","483","6.04","170","244","49.5% L / 50.5% R","1.33","10.4","7.5","73","--","4:14","173","4:25","4:25","--","--"
"19","4:30.8","1:27:30","1.00","4:31","4:32","153","158","2","3","438","5.48","486","6.08","169","248","49.7% L / 50.3% R","1.31","10.3","7.6","75","--","4:26","175","4:30.8","4:31","--","--"
"20","4:36.3","1:32:07","1.00","4:36","4:32","156","159","8","2","441","5.51","515","6.44","169","250","49.3% L / 50.7% R","1.29","10.4","7.8","78","--","4:21","175","4:36","4:36","--","--"
"21","4:33.6","1:36:40","1.00","4:34","4:36","152","158","0","3","431","5.39","473","5.91","172","244","49.4% L / 50.6% R","1.28","10.0","7.6","72","--","4:25","175","4:33.6","4:34","--","--"
"22","4:31.9","1:41:12","1.00","4:32","4:34","153","157","0","2","440","5.50","496","6.20","172","244","49.3% L / 50.7% R","1.29","10.0","7.6","71","--","4:27","174","4:31.9","4:32","--","--"
"23","4:34.8","1:45:47","1.00","4:35","4:34","154","156","1","2","438","5.48","490","6.13","170","247","49.3% L / 50.8% R","1.28","10.2","7.7","73","--","4:21","174","4:34.8","4:35","--","--"
"24","0:28.2","1:46:15","0.10","4:35","4:38","155","157","0","0","423","5.29","433","5.41","170","251","49.0% L / 51.0% R","1.27","10.3","7.8","7","--","4:37","171","0:27","4:23","--","--"
"Summary","1:46:15","1:46:15","23.02","4:37","4:38","147","159","44","48","415","5.19","556","6.95","171","246","49.0% L / 51.0% R","1.24","10.0","7.9","1,687","--","3:41","182","1:46:09","4:37","--","--"
