"Laps","Time","Cumulative Time","Distance km","Avg Pace min/km","Avg GAP min/km","Avg HR bpm","Max HR bpm","Total Ascent m","Total Descent m","Avg Power W","Avg W/kg","Max Power W","Max W/kg","Avg Run Cadence spm","Avg Ground Contact Time ms","Avg GCT Balance %","Avg Stride Length m","Avg Vertical Oscillation cm","Avg Vertical Ratio %","Calories C","Avg Temperature","Best Pace min/km","Max Run Cadence spm","Moving Time","Avg Moving Pace min/km","Avg Step Speed Loss cm/s","Avg Step Speed Loss Percent %"
"1","4:53.8","4:53.8","1.00","4:54","4:55","121","134","1","1","431","5.39","497","6.21","166","262","49.5% L / 50.5% R","1.22","10.7","8.6","66","--","4:34","170","4:53.8","4:54","--","--"
"2","4:40.0","9:33.8","1.00","4:40","4:39","135","141","3","0","454","5.68","480","6.00","169","252","49.2% L / 50.8% R","1.27","10.8","8.3","71","--","4:32","172","4:40","4:40","--","--"
"3","4:50.5","14:24","1.00","4:51","4:47","135","145","8","1","444","5.55","523","6.54","166","260","49.3% L / 50.7% R","1.24","10.8","8.5","70","--","4:16","170","4:50","4:50","--","--"
"4","4:45.2","19:10","1.00","4:45","4:50","138","148","3","10","410","5.13","504","6.30","166","256","49.2% L / 50.8% R","1.26","11.0","8.4","70","--","4:39","169","4:45.2","4:45","--","--"
"5","4:42.3","23:52","1.00","4:42","4:44","141","145","0","3","411","5.14","448","5.60","167","254","49.3% L / 50.7% R","1.28","10.8","8.2","70","--","4:38","170","4:42","4:42","--","--"
"6","4:46.7","28:38","1.00","4:47","4:47","142","147","0","2","409","5.11","450","5.63","166","254","49.4% L / 50.6% R","1.27","11.0","8.4","71","--","4:41","169","4:46.7","4:47","--","--"
"7","4:49.6","33:28","1.00","4:50","4:49","147","150","2","0","431","5.39","451","5.64","166","254","49.5% L / 50.5% R","1.24","10.8","8.4","75","--","4:44","170","4:49","4:49","--","--"
"8","4:56.0","38:24","1.00","4:56","4:55","147","151","2","0","423","5.29","455","5.69","166","254","49.4% L / 50.6% R","1.22","10.7","8.6","75","--","4:50","168","4:56.0","4:56","--","--"
"9","4:58.3","43:22","1.00","4:58","4:52","150","155","11","0","440","5.50","502","6.28","165","258","49.5% L / 50.5% R","1.22","10.9","8.7","77","--","4:44","168","4:58","4:58","--","--"
"10","4:51.1","48:13","1.00","4:51","4:55","146","154","1","12","395","4.94","432","5.40","165","256","49.4% L / 50.6% R","1.25","11.0","8.5","72","--","4:41","168","4:51","4:51","--","--"
"11","4:53.0","53:06","1.00","4:53","4:55","148","153","0","1","401","5.01","440","5.50","164","257","49.7% L / 50.3% R","1.25","11.1","8.6","73","--","4:47","166","4:53","4:53","--","--"
"12","4:53.2","58:00","1.00","4:53","4:55","147","151","0","3","402","5.03","424","5.30","164","258","49.7% L / 50.3% R","1.25","11.1","8.6","73","--","4:47","166","4:53.2","4:53","--","--"
"13","0:04.4","58:04","0.02","4:16","5:02","148","148","0","0","389","4.86","392","4.90","164","259","49.8% L / 50.2% R","1.23","10.9","8.7","1","--","4:57","165","0:03","2:54","--","--"
"Summary","58:04","58:04","12.02","4:50","4:50","141","155","31","34","421","5.26","523","6.54","166","256","49.4% L / 50.6% R","1.25","10.9","8.5","864","--","4:16","172","58:01","4:50","--","--"
