"","Interval","Step Type","Lap","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Normalized Power® (NP®)","Avg Power","Avg W/kg","Max Power","Max W/kg","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"","","Run","14","3:44.7","49:26","1.00","3:45","3:44","171","175","2","0","180","222","47.5% L / 52.5% R","1.48","9.8","6.4","517","515","6.44","561","7.01","75","3:42","184","3:44.7","3:45"
"","","Rest","15","3:00","52:26","0.53","5:38","5:30","146","171","2","1","160","275","48.7% L / 51.3% R","1.16","11.1","9.3","403","382","4.78","518","6.48","43","3:49","180","2:58","5:35"
"","4","Run","16 - 18","11:15","1:03:41","3.00","3:45","3:48","169","175","1","6","179","223","47.7% L / 52.3% R","1.48","10.0","6.5","515","515","6.44","576","7.20","222","3:38","184","11:15","3:45"
"","","Run","16","3:45.1","56:11","1.00","3:45","3:51","165","173","1","2","180","221","47.5% L / 52.5% R","1.45","9.9","6.7","495","500","6.25","536","6.70","72","3:38","184","3:45.1","3:45"
"","","Run","17","3:43.4","59:55","1.00","3:43","3:45","171","172","0","2","180","222","47.7% L / 52.3% R","1.50","9.9","6.4","523","524","6.55","549","6.86","74","3:41","182","3:43.4","3:43"
"","","Run","18","3:46.4","1:03:41","1.00","3:46","3:47","172","175","0","1","177","225","47.8% L / 52.2% R","1.50","10.3","6.6","524","521","6.51","576","7.20","76","3:41","180","3:46","3:46"
"","","Rest","19","3:00","1:06:41","0.49","6:08","6:00","145","172","0","0","158","285","49.1% L / 50.9% R","1.03","11.0","10.5","371","355","4.44","559","6.99","45","3:46","174","2:58","6:04"
"","5","Run","20 - 22","11:24","1:18:05","3.00","3:48","3:48","171","176","5","3","178","227","48.2% L / 51.8% R","1.48","10.1","6.6","517","518","6.48","580","7.25","229","3:36","183","11:24","3:48"
"","","Run","20","3:47.5","1:10:29","1.00","3:47","3:49","166","173","3","0","177","226","48.0% L / 52.0% R","1.47","10.2","6.8","505","512","6.40","566","7.08","75","3:43","180","3:47.5","3:47"
"","","Run","21","3:49.8","1:14:18","1.00","3:50","3:47","172","175","2","0","177","229","48.2% L / 51.8% R","1.48","10.2","6.6","525","521","6.51","580","7.25","77","3:36","180","3:49","3:49"
"","","Run","22","3:46.5","1:18:05","1.00","3:47","3:47","174","176","0","3","180","226","48.3% L / 51.7% R","1.48","9.9","6.4","521","521","6.51","552","6.90","77","3:37","183","3:46.5","3:47"
"","","Cool Down","23 - 25","15:15","1:33:20","2.90","5:15","5:12","135","175","3","6","165","268","49.1% L / 50.9% R","1.17","10.2","8.6","388","385","4.81","541","6.76","228","3:46","179","15:11","5:14"
"","","Cool Down","23","5:27.9","1:23:33","1.00","5:28","5:20","135","175","2","1","163","271","49.0% L / 51.0% R","1.15","10.2","8.8","382","373","4.66","541","6.76","81","3:46","179","5:25","5:25"
"","","Cool Down","24","5:00.0","1:28:33","1.00","5:00","5:02","137","139","0","2","168","263","49.0% L / 51.0% R","1.19","10.2","8.4","395","396","4.95","476","5.95","78","4:53","170","5:00.0","5:00"
"","","Cool Down","25","4:47.3","1:33:20","0.90","5:18","5:15","133","137","1","2","165","271","49.3% L / 50.7% R","1.16","10.3","8.7","389","386","4.83","413","5.16","70","4:56","169","4:46","5:16"
"","Summary","--","--","1:33:20","1:33:20","22.02","4:14","4:14","152","176","29","31","172","242","48.2% L / 51.8% R","1.37","10.3","7.5","479","467","5.84","612","7.65","1,641","3:30","184","1:33:09","4:14"
