"","Interval","Step Type","Lap","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Normalized Power® (NP®)","Avg Power","Avg W/kg","Max Power","Max W/kg","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"","","Warm Up","1 - 3","11:06","11:06","2.34","4:45","4:46","121","136","5","1","167","259","48.4% L / 51.6% R","1.26","10.5","8.3","424","424","5.30","612","7.65","162","3:39","172","11:04","4:44"
"","","Warm Up","1","4:50.9","4:50.9","1.00","4:51","4:51","115","132","1","1","165","264","48.7% L / 51.3% R","1.25","10.6","8.4","428","424","5.30","612","7.65","67","3:39","168","4:50.9","4:51"
"","","Warm Up","2","4:37.4","9:28.2","1.00","4:37","4:41","126","134","3","0","169","254","48.1% L / 51.9% R","1.27","10.3","8.0","427","428","5.35","576","7.20","72","3:51","172","4:37","4:37"
"","","Warm Up","3","1:38.0","11:06","0.34","4:51","4:46","126","136","1","0","167","261","48.4% L / 51.6% R","1.24","10.6","8.5","404","418","5.23","507","6.34","24","4:25","170","1:37","4:48"
"","1","Run","4 - 6","11:22","22:28","3.00","3:47","3:49","156","165","3","5","175","228","47.8% L / 52.2% R","1.50","10.4","6.7","512","513","6.41","560","7.00","210","3:36","179","11:22","3:47"
"","","Run","4","3:47.1","14:53","1.00","3:47","3:51","149","155","0","2","176","226","48.0% L / 52.0% R","1.49","10.4","6.7","507","512","6.40","549","6.86","68","3:36","179","3:47.1","3:47"
"","","Run","5","3:47.4","18:41","1.00","3:47","3:50","158","165","1","3","174","228","47.5% L / 52.5% R","1.51","10.5","6.7","513","513","6.41","560","7.00","70","3:45","179","3:47.4","3:47"
"","","Run","6","3:47.4","22:28","1.00","3:47","3:46","162","165","2","0","175","228","47.7% L / 52.3% R","1.51","10.4","6.6","516","515","6.44","545","6.81","72","3:41","178","3:47","3:47"
"","","Rest","7","1:31.9","24:00","0.27","5:43","5:26","123","164","1","0","158","281","47.6% L / 52.4% R","1.13","11.3","10.3","392","389","4.86","528","6.60","20","3:50","176","1:31","5:40"
"","2","Run","8 - 10","11:15","35:15","3.00","3:45","3:45","163","170","4","5","176","226","47.6% L / 52.4% R","1.51","10.2","6.5","516","518","6.48","566","7.08","217","3:30","181","11:15","3:45"
"","","Run","8","3:42.2","27:42","1.00","3:42","3:46","156","165","0","2","178","222","47.7% L / 52.3% R","1.49","10.0","6.5","511","518","6.48","557","6.96","70","3:30","181","3:42.2","3:42"
"","","Run","9","3:46.5","31:29","1.00","3:47","3:45","165","170","1","3","177","226","47.6% L / 52.4% R","1.51","10.2","6.5","517","516","6.45","560","7.00","73","3:41","180","3:46.5","3:47"
"","","Run","10","3:45.9","35:15","1.00","3:46","3:45","167","170","3","0","175","229","47.5% L / 52.5% R","1.52","10.4","6.6","521","520","6.50","566","7.08","74","3:42","179","3:45.9","3:46"
"","","Rest","11","3:00","38:15","0.49","6:11","5:58","138","167","1","0","157","283","49.3% L / 50.7% R","1.06","11.1","10.3","391","359","4.49","608","7.60","43","3:44","177","2:58","6:07"
"","3","Run","12 - 14","11:12","49:26","3.00","3:44","3:45","168","175","2","4","180","221","47.5% L / 52.5% R","1.49","9.9","6.4","515","516","6.45","591","7.39","221","3:37","184","11:11","3:44"
"","","Run","12","3:43.0","41:58","1.00","3:43","3:46","162","168","0","2","180","219","47.4% L / 52.6% R","1.48","9.8","6.5","504","511","6.39","552","6.90","72","3:37","184","3:43.0","3:43"
"","","Run","13","3:43.9","45:41","1.00","3:44","3:44","169","172","0","2","179","221","47.7% L / 52.3% R","1.50","10.0","6.4","522","522","6.53","591","7.39","74","3:39","182","3:43","3:43"
