"Laps","Time","Cumulative Time","Distance km","Avg Pace min/km","Avg GAP min/km","Avg HR bpm","Max HR bpm","Total Ascent m","Total Descent m","Avg Power W","Avg W/kg","Max Power W","Max W/kg","Avg Run Cadence spm","Avg Ground Contact Time ms","Avg GCT Balance %","Avg Stride Length m","Avg Vertical Oscillation cm","Avg Vertical Ratio %","Calories C","Avg Temperature","Best Pace min/km","Max Run Cadence spm","Moving Time","Avg Moving Pace min/km","Avg Step Speed Loss cm/s","Avg Step Speed Loss Percent %"
"1","4:54.1","4:54.1","1.00","4:54","4:57","123","146","1","1","422","5.28","490","6.13","166","268","49.2% L / 50.8% R","1.22","10.4","8.3","67","--","4:38","170","4:54","4:54","--","--"
"2","4:37.9","9:32.0","1.00","4:38","4:36","138","146","2","0","452","5.65","500","6.25","171","255","49.0% L / 51.0% R","1.26","10.1","7.8","71","--","4:33","172","4:37.9","4:38","--","--"
"3","4:45.4","14:17","1.00","4:45","4:39","143","150","5","0","440","5.50","551","6.89","168","259","49.4% L / 50.6% R","1.26","10.5","8.1","74","--","4:33","171","4:45.4","4:45","--","--"
"4","4:41.6","18:59","1.00","4:42","4:44","140","148","5","9","419","5.24","530","6.63","169","254","49.3% L / 50.7% R","1.26","10.3","7.9","70","--","4:30","172","4:41","4:41","--","--"
"5","4:39.9","23:39","1.00","4:40","4:42","145","147","0","3","404","5.05","442","5.53","170","252","49.3% L / 50.8% R","1.27","10.1","7.7","71","--","4:33","172","4:39.9","4:40","--","--"
"6","4:42.2","28:21","1.00","4:42","4:44","147","151","0","3","407","5.09","451","5.64","170","247","49.3% L / 50.7% R","1.25","10.3","8.0","72","--","4:37","174","4:42","4:42","--","--"
"7","4:44.9","33:06","1.00","4:45","4:44","151","157","3","1","423","5.29","453","5.66","170","245","49.2% L / 50.8% R","1.24","10.4","8.1","75","--","4:38","172","4:44.9","4:45","--","--"
"8","4:44.5","37:50","1.00","4:44","4:44","152","158","4","0","440","5.50","489","6.11","170","245","49.0% L / 51.0% R","1.24","10.3","8.1","76","--","4:40","173","4:44.5","4:45","--","--"
"9","4:40.5","42:31","1.00","4:41","4:41","154","159","0","2","406","5.08","551","6.89","171","241","49.3% L / 50.7% R","1.26","10.3","8.0","75","--","4:31","174","4:40","4:40","--","--"
"10","4:45.2","47:16","1.00","4:45","4:44","154","162","0","3","403","5.04","478","5.98","171","246","49.3% L / 50.7% R","1.24","10.1","7.9","75","--","4:35","175","4:45","4:45","--","--"
"11","0:29.1","47:45","0.10","5:02","5:03","153","155","1","0","390","4.88","407","5.09","166","260","49.6% L / 50.4% R","1.20","10.2","8.3","8","--","4:49","167","0:29","5:01","--","--"
"Summary","47:45","47:45","10.10","4:44","4:44","145","162","23","23","421","5.26","551","6.89","170","251","49.2% L / 50.8% R","1.25","10.3","8.0","734","--","4:30","175","47:44","4:44","--","--"
