"Laps","Time","Cumulative Time","Distance km","Avg Pace min/km","Avg GAP min/km","Avg HR bpm","Max HR bpm","Total Ascent m","Total Descent m","Avg Power W","Avg W/kg","Max Power W","Max W/kg","Avg Run Cadence spm","Avg Ground Contact Time ms","Avg GCT Balance %","Avg Stride Length m","Avg Vertical Oscillation cm","Avg Vertical Ratio %","Calories C","Avg Temperature","Best Pace min/km","Max Run Cadence spm","Moving Time","Avg Moving Pace min/km","Avg Step Speed Loss cm/s","Avg Step Speed Loss Percent %"
"1","4:55.0","4:55.0","1.00","4:55","--","107","118","2","1","377","4.71","430","5.38","161","266","--","1.27","10.0","7.8","47","--","4:38","167","4:50","4:50","--","--"
"2","4:40.7","9:35.8","1.00","4:41","--","121","127","3","0","397","4.96","430","5.38","167","259","--","1.28","9.8","7.6","57","--","4:33","171","4:40.7","4:41","--","--"
"3","4:41.7","14:18","1.00","4:42","--","125","132","4","0","393","4.91","432","5.40","167","257","--","1.27","9.6","7.6","59","--","4:33","172","4:41.7","4:42","--","--"
"4","4:42.2","19:00","1.00","4:42","--","130","140","8","8","383","4.79","431","5.39","166","260","--","1.28","9.8","7.7","61","--","4:33","170","4:42","4:42","--","--"
"5","4:50.8","23:51","1.00","4:51","--","127","134","0","6","378","4.73","434","5.43","164","261","--","1.27","9.8","7.7","58","--","4:33","170","4:45","4:45","--","--"
"6","4:40.8","28:31","1.00","4:41","--","131","135","0","3","394","4.93","429","5.36","167","259","--","1.28","9.8","7.6","61","--","4:33","171","4:40.8","4:41","--","--"
"7","4:41.9","33:13","1.00","4:42","--","133","137","0","2","393","4.91","428","5.35","167","259","--","1.28","9.8","7.7","62","--","4:33","170","4:41.9","4:42","--","--"
"8","4:45.4","37:59","1.00","4:45","--","136","141","3","0","391","4.89","443","5.54","168","259","--","1.25","9.6","7.7","66","--","4:28","173","4:45","4:45","--","--"
"9","4:39.1","42:38","1.00","4:39","--","138","142","2","0","399","4.99","438","5.48","168","257","--","1.28","9.7","7.6","66","--","4:29","173","4:39","4:39","--","--"
"10","4:39.9","47:18","1.00","4:40","--","138","141","0","2","396","4.95","426","5.33","168","258","--","1.28","9.8","7.6","64","--","4:32","171","4:39.9","4:40","--","--"
"11","4:44.2","52:02","1.00","4:44","--","137","140","0","2","392","4.90","434","5.43","167","260","--","1.27","9.7","7.7","64","--","4:33","170","4:44","4:44","--","--"
"12","0:04.0","52:06","0.01","4:35","--","137","137","0","0","377","4.71","415","5.19","166","266","--","1.22","9.6","7.9","1","--","4:38","167","0:03","3:25","--","--"
"Summary","52:06","52:06","11.01","4:44","--","129","142","24","25","390","4.88","443","5.54","167","260","--","1.27","9.8","7.7","666","--","4:28","173","51:53","4:43","--","--"
