"Laps","Time","Cumulative Time","Distance km","Avg Pace min/km","Avg GAP min/km","Avg HR bpm","Max HR bpm","Total Ascent m","Total Descent m","Avg Power W","Avg W/kg","Max Power W","Max W/kg","Avg Run Cadence spm","Avg Ground Contact Time ms","Avg GCT Balance %","Avg Stride Length m","Avg Vertical Oscillation cm","Avg Vertical Ratio %","Calories C","Avg Temperature","Best Pace min/km","Max Run Cadence spm","Moving Time","Avg Moving Pace min/km","Avg Step Speed Loss cm/s","Avg Step Speed Loss Percent %"
"1","4:43.6","4:43.6","1.00","4:44","4:47","119","132","2","1","434","5.43","495","6.19","168","260","48.5% L / 51.5% R","1.24","10.0","7.9","67","--","4:17","174","4:43.6","4:44","--","--"
"2","4:23.3","9:06.8","1.00","4:23","4:22","135","144","2","0","465","5.81","487","6.09","174","244","48.2% L / 51.8% R","1.30","9.6","7.2","71","--","4:12","177","4:23","4:23","--","--"
"3","4:27.7","13:34","1.00","4:28","4:20","143","149","8","0","482","6.03","556","6.95","175","242","49.3% L / 50.7% R","1.29","9.6","7.3","75","--","4:12","178","4:27.7","4:28","--","--"
"4","4:29.0","18:03","1.00","4:29","4:38","138","152","7","17","445","5.56","531","6.64","173","246","49.8% L / 50.2% R","1.27","10.0","7.6","69","--","4:16","176","4:28","4:28","--","--"
"5","4:27.6","22:31","1.00","4:28","4:24","141","152","8","3","482","6.03","592","7.40","171","248","48.9% L / 51.1% R","1.32","10.3","7.6","73","--","4:20","174","4:27.6","4:28","--","--"
"6","4:26.2","26:57","1.00","4:26","4:25","145","154","7","6","466","5.83","564","7.05","170","249","49.1% L / 50.9% R","1.33","10.4","7.6","74","--","4:19","172","4:26","4:26","--","--"
"7","4:22.9","31:20","1.00","4:23","4:23","142","148","2","5","435","5.44","479","5.99","170","247","49.0% L / 51.0% R","1.35","10.3","7.4","70","--","4:14","173","4:22.9","4:23","--","--"
"8","4:29.8","35:50","1.00","4:30","4:17","149","161","19","4","467","5.84","615","7.69","170","252","49.0% L / 51.0% R","1.31","10.1","7.5","75","--","4:16","173","4:29","4:29","--","--"
"9","4:23.4","40:13","1.00","4:23","4:32","139","149","0","13","410","5.13","440","5.50","172","243","48.9% L / 51.1% R","1.32","10.2","7.5","67","--","4:19","175","4:23.4","4:23","--","--"
"10","4:22.9","44:36","1.00","4:23","4:24","143","147","0","2","434","5.43","458","5.73","171","247","48.9% L / 51.1% R","1.34","10.2","7.4","70","--","4:21","174","4:22.9","4:23","--","--"
"11","4:27.8","49:04","1.00","4:28","4:28","143","147","0","4","422","5.28","445","5.56","170","252","49.1% L / 50.9% R","1.33","10.0","7.3","70","--","4:19","172","4:27.8","4:28","--","--"
"12","0:05.9","49:10","0.03","3:55","4:32","145","146","0","0","423","5.29","429","5.36","169","261","48.9% L / 51.1% R","1.29","9.9","7.4","2","--","4:35","171","0:05","3:20","--","--"
"Summary","49:10","49:10","11.03","4:28","4:27","139","161","57","55","449","5.61","615","7.69","171","248","49.0% L / 51.0% R","1.31","10.1","7.5","782","--","4:12","178","49:07","4:27","--","--"
